operating_point_label,config_id,method,reduction_ratio_label,context_accuracy,anomaly_rate,D,F,M,structured_distractor_count,component_flip_rate,candidate_subset_size,trials,target_recovery_rate,distractor_capture_rate,hybrid_spurious_rate,unsettled_rate,exact_recovery_rate,exact_recovery_ci_low,exact_recovery_ci_high,per_factor_recovery_rate,false_consensus_rate,false_consensus_ci_low,false_consensus_ci_high,false_consensus_distractor_capture_share,false_consensus_hybrid_spurious_share,unsettled_failure_rate,unsettled_failure_ci_low,unsettled_failure_ci_high,stable_prediction_rate,truth_inclusion_probability,mean_candidate_recall,mean_candidate_precision_proxy,conditional_accuracy_given_all_truth_included,truth_absent_failure_rate,truth_present_failure_rate,mean_iterations_used,median_iterations_used,mean_normalized_margin,mean_normalized_reconstruction_similarity,mean_candidate_evaluations_proxy,mean_element_operations_proxy,mean_anomaly_count,context_prediction_correct_rate,schema_version,similarity_metric,master_seed,python_version,torch_version,torchhd_version,platform,paired_exact_recovery_delta_vs_global,paired_false_consensus_delta_vs_global,paired_target_recovery_delta_vs_global,paired_exact_recovery_regret_vs_oracle_truth_included,paired_candidate_recall_regret_vs_oracle_truth_included,paired_candidate_recall_delta_vs_random_unconditional,paired_exact_recovery_delta_vs_random_unconditional
COLLAPSE_SINGLE,D1024_F4_M10_SD0,oracle_truth_included,half,,0.1,1024,4,10,0,0.0,5,64,0.9375,0.0,0.03125,0.03125,0.9375,0.8500230335750312,0.9754291963252071,0.96875,0.03125,0.00861195771251659,0.10697493882294247,0.0,1.0,0.03125,0.00861195771251659,0.10697493882294247,0.96875,1.0,1.0,0.2,0.9375,0.0,0.0625,3.765625,3.0,0.9413299560546875,0.937896728515625,75.3125,77120.0,0.421875,,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.8125,-0.03125,0.8125,0.0,0.0,0.52734375,0.921875
COLLAPSE_SINGLE,D1024_F4_M10_SD0,oracle_truth_included,half,,0.25,1024,4,10,0,0.0,5,64,0.953125,0.0,0.03125,0.015625,0.953125,0.8710013921145747,0.9839312745678148,0.96875,0.03125,0.00861195771251659,0.10697493882294247,0.0,1.0,0.015625,0.0027634707504014117,0.08334298900290629,0.984375,1.0,1.0,0.2,0.953125,0.0,0.046875,3.59375,3.0,0.9410552978515625,0.95440673828125,71.875,73600.0,1.0625,,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.84375,-0.046875,0.84375,0.0,0.0,0.54296875,0.921875
COLLAPSE_SINGLE,D1024_F4_M10_SD0,oracle_truth_included,quarter,,0.0,1024,4,10,0,0.0,3,64,1.0,0.0,0.0,0.0,1.0,0.9433739770288436,1.0,1.0,0.0,0.0,0.056626022971156334,,,0.0,0.0,0.056626022971156334,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,3.0,3.0,0.9832916259765625,1.0,36.0,36864.0,0.0,,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.84375,-0.046875,0.84375,0.0,0.0,0.65234375,1.0
COLLAPSE_SINGLE,D1024_F4_M10_SD0,oracle_truth_included,quarter,,0.1,1024,4,10,0,0.0,3,64,1.0,0.0,0.0,0.0,1.0,0.9433739770288436,1.0,1.0,0.0,0.0,0.056626022971156334,,,0.0,0.0,0.056626022971156334,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,3.0,3.0,0.9834213256835938,1.0,36.0,36864.0,0.421875,,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.875,-0.0625,0.875,0.0,0.0,0.65234375,1.0
COLLAPSE_SINGLE,D1024_F4_M10_SD0,oracle_truth_included,quarter,,0.25,1024,4,10,0,0.0,3,64,1.0,0.0,0.0,0.0,1.0,0.9433739770288436,1.0,1.0,0.0,0.0,0.056626022971156334,,,0.0,0.0,0.056626022971156334,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,3.0,3.0,0.9835433959960938,1.0,36.0,36864.0,1.0625,,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.890625,-0.078125,0.890625,0.0,0.0,0.66015625,1.0
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,half,0.7,0.0,1024,4,10,0,0.0,5,64,0.40625,0.0,0.0,0.59375,0.40625,0.2945672443525889,0.528550134954503,0.48046875,0.0,0.0,0.056626022971156334,,,0.59375,0.4714498650454971,0.7054327556474111,0.40625,0.40625,0.75390625,0.15078125,1.0,0.59375,0.0,8.515625,12.0,0.5731570079515222,0.405914306640625,170.3125,174400.0,0.0,0.71875,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.25,-0.046875,0.25,0.515625,0.24609375,0.30078125,0.390625
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,half,0.7,0.1,1024,4,10,0,0.0,5,64,0.34375,0.0,0.0,0.65625,0.34375,0.23922975035469027,0.46596588182379606,0.421875,0.0,0.0,0.056626022971156334,,,0.65625,0.5340341181762038,0.7607702496453097,0.34375,0.359375,0.72265625,0.14453125,0.9565217391304348,0.640625,0.015625,9.015625,12.0,0.5609035688394215,0.34515380859375,180.3125,184640.0,0.421875,0.71875,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.21875,-0.0625,0.21875,0.59375,0.27734375,0.25,0.328125
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,half,0.7,0.25,1024,4,10,0,0.0,5,64,0.296875,0.0,0.015625,0.6875,0.296875,0.19904999589075245,0.4177043259412798,0.37890625,0.015625,0.0027634707504014117,0.08334298900290629,0.0,1.0,0.6875,0.5660743364084738,0.7876909049773425,0.3125,0.3125,0.71484375,0.14296875,0.95,0.6875,0.015625,9.390625,12.0,0.5495201799203642,0.29962158203125,187.8125,192320.0,1.0625,0.71875,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.1875,-0.0625,0.1875,0.65625,0.28515625,0.2578125,0.265625
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,half,0.9,0.0,1024,4,10,0,0.0,5,64,0.484375,0.0,0.0,0.515625,0.484375,0.36633348565783896,0.6041860775600096,0.5390625,0.0,0.0,0.056626022971156334,,,0.515625,0.3958139224399903,0.6336665143421609,0.484375,0.484375,0.8125,0.1625,1.0,0.515625,0.0,7.859375,12.0,0.63266197804478,0.482452392578125,157.1875,160960.0,0.0,0.875,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.328125,-0.046875,0.328125,0.4375,0.1875,0.359375,0.46875
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,half,0.9,0.1,1024,4,10,0,0.0,5,64,0.40625,0.0,0.0,0.59375,0.40625,0.2945672443525889,0.528550134954503,0.46875,0.0,0.0,0.056626022971156334,,,0.59375,0.4714498650454971,0.7054327556474111,0.40625,0.421875,0.7734375,0.1546875,0.9629629629629629,0.578125,0.015625,8.484375,12.0,0.6075271630834322,0.404296875,169.6875,173760.0,0.421875,0.875,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.28125,-0.0625,0.28125,0.53125,0.2265625,0.30078125,0.390625
