schema_version,method_id,config_id,corruption_probability,candidate_budget,trials,raw_exact_trace_candidate_recall,post_budget_exact_trace_recall,exact_trace_recall_at_1,exact_trace_recall_at_8,exact_trace_recall_at_32,accepted_exact_trace_coverage,exact_trace_conditional_risk,ambiguous_wrong_acceptance_rate,decoder_contract_top1_accuracy,decoder_contract_candidate_fraction,distinct_contracts_after_routing,decoder_contract_entropy_before,decoder_contract_entropy_after,decoder_families_eliminated,decoder_contract_recall_at_32,decoder_contract_acceptance_coverage,transform_latency_p50,index_latency_p50,rerank_latency_p50,verification_latency_p50,total_latency_p50,total_latency_p95,total_latency_p99,external_candidates_returned_median,external_candidates_returned_p95,external_candidates_reranked_median
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.15,100,512,1,1,0.94140625,1,1,0,0.0,0,0.970703125,0.36151123046875,3.64453125,2.877961197630026,1.385547298756134,8.35546875,1,0,1.00000761449337e-07,0.008223599987104535,0.004993750073481351,0.0008857000502757728,0.014134099998045713,0.028036460006842387,0.05932118301745489,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.0,100,512,1,1,0.943359375,1,1,0.875,0.0,0,0.966796875,0.21291687668010753,7.74609375,2.877961197630026,2.5915046112266626,4.25390625,1,0.9375,0.0,0.0006851500365883112,0.002543749986216426,0.0007614499772898853,0.004307899973355234,0.0053291599615477026,0.005808922045398502,47.5,61.0,47.5
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.01,100,512,1,1,0.9375,1,1,0.875,0.0,0,0.966796875,0.20676136835975895,7.734375,2.877961197630026,2.59388120580419,4.265625,1,0.9375,0.0,0.0006830999627709389,0.002625449968036264,0.0007603000267408788,0.004356549994554371,0.005641794949769973,0.007027204983169212,47.0,59.44999999999999,47.0
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.03,100,512,0.990234375,0.990234375,0.931640625,0.990234375,0.990234375,0.8671875,0.0,0,0.958984375,0.20086219893073157,7.705078125,2.877961197630026,2.596637358825795,4.294921875,1,0.927734375,0.0,0.0006967000081203878,0.002792599960230291,0.0007699500420130789,0.004802499955985695,0.0065088799688965086,0.007514233979163691,47.0,60.44999999999999,47.0
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.05,32,512,0.88671875,0.88671875,0.83203125,0.88671875,0.88671875,0.69921875,0.002785515320334262,0.001953125,0.904296875,0.1954161921966454,7.7734375,2.877961197630026,2.607696733904063,4.2265625,0.994140625,0.73828125,0.0,0.0006753000197932124,0.0019995499751530588,0.0007505500107072294,0.003976300009526312,0.00531211500056088,0.006650828038109462,32.0,32.0,32.0
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.05,64,512,0.953125,0.953125,0.89453125,0.953125,0.953125,0.7421875,0.0,0,0.943359375,0.2054259578216454,7.72265625,2.877961197630026,2.592328639987071,4.27734375,1,0.787109375,0.0,0.0006996499723754823,0.002840299974195659,0.0007687000324949622,0.005064550030510873,0.007228235038928688,0.009369678967632349,47.0,60.0,47.0
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.05,100,512,0.953125,0.953125,0.89453125,0.953125,0.953125,0.7421875,0.0,0,0.943359375,0.2054259578216454,7.724609375,2.877961197630026,2.5925729480902606,4.275390625,1,0.787109375,0.0,0.0006893500103615224,0.0026102500269189477,0.0007624500431120396,0.004563449998386204,0.006314339948585257,0.0069225660013034936,47.0,60.0,47.0
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.1,100,512,0.66015625,0.66015625,0.61328125,0.66015625,0.66015625,0,0.0,0,0.75,0.19296674362159177,7.703125,2.877961197630026,2.5963997118770252,4.296875,0.978515625,0,0.0,0.0006818000110797584,0.0025741499848663807,0.0008057499653659761,0.004496050009038299,0.005724244931479916,0.007162547910120331,47.0,60.44999999999999,47.0
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.15,100,512,0.416015625,0.416015625,0.39453125,0.416015625,0.416015625,0,0.0,0,0.59765625,0.1860353655698228,7.654296875,2.877961197630026,2.593362536472378,4.345703125,0.96484375,0,0.0,0.0006889000069350004,0.0025920000625774264,0.0009523499174974859,0.004622899985406548,0.005748814949765801,0.006744385028723627,46.0,60.0,46.0
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.0,100,1536,0.9934895833333334,0.9934895833333334,0.9231770833333334,0.9934895833333334,0.9934895833333334,0.8684895833333334,0.0,0,0.9622395833333334,0.34832763671875,3.5403645833333335,0.0,1.3279107528640404,-3.5403645833333335,0.9954427083333334,0.9309895833333334,1.00000761449337e-07,0.0015206999378278852,0.009130549966357648,0.0008934998768381774,0.011905750026926398,0.013851974974386394,0.016768449981464078,100.0,100.0,100.0
