schema_version,method_id,config_id,corruption_probability,candidate_budget,transform_latency_p50,index_latency_p50,rerank_latency_p50,verification_latency_p50,total_latency_p50,total_latency_p95,total_latency_p99
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.0,10000,5.00003807246685e-07,0.0,0.029465649975463748,0.00027899997076019645,0.029799849959090352,0.037574939994374265,0.046130408981116484
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.01,10000,5.00003807246685e-07,0.0,0.02947444998426363,0.0002785499091260135,0.029817100032232702,0.043859330000123,0.05800430906703693
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.03,10000,5.00003807246685e-07,0.0,0.034339250007178634,0.00028089998522773385,0.034618599980603904,0.049372600048081944,0.06166723003378137
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.05,10000,5.00003807246685e-07,0.0,0.03222190000815317,0.0002772000152617693,0.03257115004817024,0.04658147497684695,0.06093079000711466
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.1,10000,5.00003807246685e-07,0.0,0.029976899968460202,0.0002589001087471843,0.030289000016637146,0.03929573997738771,0.048443147055804714
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.15,10000,5.00003807246685e-07,0.0,0.030437949986662716,0.0002592999953776598,0.030759449931792915,0.04121996498433873,0.05086358704487792
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.0,100,1.00000761449337e-07,0.007942599942907691,0.004616549937054515,0.0009032998932525516,0.013705550052691251,0.020377464982448138,0.037277625990100205
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.01,100,1.00000761449337e-07,0.008083299966529012,0.004751100088469684,0.0008976000244729221,0.013851550058461726,0.03347972999908961,0.08260628699208589
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.03,100,2.00001522898674e-07,0.009457250009290874,0.005398749955929816,0.000915149983484298,0.015942999976687133,0.05222287001088262,0.12837972799083203
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.05,32,1.00000761449337e-07,0.008153450035024434,0.0021275999606586993,0.0008530000341124833,0.011760599969420582,0.03035478001111186,0.055391191963572055
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.05,64,1.00000761449337e-07,0.010666650021448731,0.004330300027504563,0.0008892499608919024,0.015551200020126998,0.05376365502015687,0.12226466394029553
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.05,100,1.00000761449337e-07,0.008609100012108684,0.0050752999959513545,0.0009005499887280166,0.01477299997350201,0.033593169978121284,0.061536205019801796
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.1,100,1.00000761449337e-07,0.00818504998460412,0.004839700006414205,0.0008823000825941563,0.013980099989566952,0.027384510001866133,0.044959782921941915
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.15,100,1.00000761449337e-07,0.008223599987104535,0.004993750073481351,0.0008857000502757728,0.014134099998045713,0.028036460006842387,0.05932118301745489
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.0,100,0.0,0.0006851500365883112,0.002543749986216426,0.0007614499772898853,0.004307899973355234,0.0053291599615477026,0.005808922045398502
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.01,100,0.0,0.0006830999627709389,0.002625449968036264,0.0007603000267408788,0.004356549994554371,0.005641794949769973,0.007027204983169212
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.03,100,0.0,0.0006967000081203878,0.002792599960230291,0.0007699500420130789,0.004802499955985695,0.0065088799688965086,0.007514233979163691
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.05,32,0.0,0.0006753000197932124,0.0019995499751530588,0.0007505500107072294,0.003976300009526312,0.00531211500056088,0.006650828038109462
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.05,64,0.0,0.0006996499723754823,0.002840299974195659,0.0007687000324949622,0.005064550030510873,0.007228235038928688,0.009369678967632349
