schema_version,method_id,config_id,corruption_probability,query_subset,decoder_contract_recall_at_32,decoder_contract_acceptance_coverage,exact_trace_recall_at_32,exact_trace_acceptance_coverage,candidate_set_size_median,candidate_set_size_p95,candidate_reduction_ratio,total_query_latency_sec_p50,total_query_latency_sec_p95,total_query_latency_sec_p99
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.01,all,0.9453125,0.009765625,0.0078125,0.009765625,73.0,74.0,0.993000390625,0.014048200042452663,0.015123955090530217,0.016077920994721353
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.03,all,0.919921875,0,0,0,73.0,74.0,0.9929888671875,0.014204400009475648,0.015595219901297242,0.019204692015191538
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.05,all,0.939453125,0.005859375,0.0078125,0.005859375,72.0,74.0,0.9930142578125,0.014048849989194423,0.015585974999703465,0.01810499997111037
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.1,all,0.94921875,0,0.0078125,0,73.0,74.0,0.9929880859375,0.014120450068730861,0.015399834990967063,0.01725192399462685
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.15,all,0.94921875,0,0.0078125,0,73.0,74.0,0.992998046875,0.014109850046224892,0.015104319993406536,0.016654362063854934
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B6_a1s2_multi_table_lsh,0.0,all,0.947265625,0,0,0,25.0,26.0,0.99762265625,0.005097250046674162,0.005763599998317659,0.006164898845599964
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B6_a1s2_multi_table_lsh,0.01,all,0.92578125,0.001953125,0,0.001953125,25.0,26.0,0.9976267578125,0.0050875499146059155,0.00571074994513765,0.006246739963535217
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B6_a1s2_multi_table_lsh,0.03,all,0.912109375,0.00390625,0.00390625,0.00390625,26.0,26.0,0.99761875,0.005101000017020851,0.0057352249510586265,0.006138554085046052
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B6_a1s2_multi_table_lsh,0.05,all,0.9296875,0,0,0,25.0,26.0,0.997637109375,0.005032150016631931,0.005759890034096315,0.0061141720414161676
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B6_a1s2_multi_table_lsh,0.1,all,0.912109375,0,0.001953125,0,25.0,26.0,0.997632421875,0.0050611000042408705,0.005775324971182272,0.006302124984795226
