trial_id,ambient_length,factor_count,subcode_dimension,trials,success_rate_by_paper_rule,mean_solve_time_sec,mean_end_to_end_time_sec,mean_generator_bytes,mean_observation_bytes
paper_easy_n500_k3_f3,500,3,3,10,1.0,0.005727339989971369,0.009874730010051281,563.0,63.0
paper_scaling_n500_k5_f4,500,4,5,10,1.0,0.00962557999882847,0.018992289982270448,1250.0,63.0
paper_scaling_n1000_k7_f5,1000,5,7,10,1.0,0.02982007000828162,0.05407122997567058,4375.0,125.0
