split_name,arm_id,variant_id,bundle_width,rows,mean_member_top1_recall,mean_member_topk_recall,mean_full_member_enumeration_recall,mean_precision,mean_false_positive_rate,mean_auc_equivalent,accepted_coverage,conditional_risk,silent_wrong_acceptance_rate,mean_cleanup_margin,mean_physical_bits_total,mean_encoding_latency_sec,mean_cold_decode_latency_sec,mean_warm_decode_latency_sec,mean_token_entropy,mean_exact_block_fraction,mean_nearest_prototype_distortion,mean_effective_codebook_utilization,histogram_preserved_all
DEVELOPMENT_VALIDATION,F_SHUFFLED_BLOCK_TOKENS,C16_shuffled,15,128,1.0,0.9994791666666667,0.9921875,0.9994791666666667,3.241701244813278e-05,0.9999978388659656,1.0,0.0078125,0.0078125,41.75,1563.0,0.016441983594631893,8.254218573711114e-05,6.580625722563127e-05,2.6877145134529696,0.0126953125,3.939453125,0.728515625,True
DEVELOPMENT_VALIDATION,F_SHUFFLED_BLOCK_TOKENS,C16_shuffled,31,128,1.0,0.9710181451612904,0.3125,0.9710181451612904,0.0060549112256586485,0.9990722411511683,0.890625,0.6578947368421053,0.5859375,5.25,1563.0,0.01667326171627792,9.546562159812311e-05,7.64945270930184e-05,3.306527521949591,0.052734375,3.2578125,0.88720703125,True
DEVELOPMENT_VALIDATION,F_SHUFFLED_BLOCK_TOKENS,C4_shuffled,7,128,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,101.9140625,1307.0,0.01658223828781047,0.000183255469892174,0.0001317656233368325,1.8203241434143043,0.0225830078125,3.77655029296875,1.0,True
DEVELOPMENT_VALIDATION,F_SHUFFLED_BLOCK_TOKENS,C4_shuffled,15,128,1.0,0.9994791666666667,0.9921875,0.9994791666666667,3.241701244813278e-05,0.9999978388659656,1.0,0.0078125,0.0078125,39.4609375,1307.0,0.016441983594631893,0.00010687890062399674,6.686171764158644e-05,1.4981917126544146,0.00244140625,4.88446044921875,1.0,True
DEVELOPMENT_VALIDATION,F_SHUFFLED_BLOCK_TOKENS,C4_shuffled,31,128,1.0,0.9730342741935484,0.3515625,0.9730342741935484,0.005593857388316151,0.9993724529988981,0.90625,0.6293103448275862,0.5703125,4.859375,1307.0,0.01667326171627792,0.00010851484876184259,6.391484748746734e-05,1.7815454944209086,0.0181884765625,4.11407470703125,1.0,True
DEVELOPMENT_VALIDATION,G_MAP_I_EXACT_ACCUMULATOR,exact_accumulator_k15,15,128,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,500.3125,5147.0,0.016441983594631893,6.32187529845396e-05,4.671796432376141e-05,0.0,0.0,0.0,0.0,True
DEVELOPMENT_VALIDATION,G_MAP_I_EXACT_ACCUMULATOR,exact_accumulator_k31,31,128,1.0,0.9984879032258065,0.953125,0.9984879032258065,0.000299971363115693,0.9999821255914867,1.0,0.046875,0.046875,203.3125,6171.0,0.01667326171627792,8.787265687715262e-05,5.16531317771296e-05,0.0,0.0,0.0,0.0,True
DEVELOPMENT_VALIDATION,G_MAP_I_EXACT_ACCUMULATOR,exact_accumulator_k7,7,128,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,697.84375,4123.0,0.01658223828781047,0.0003502414037939161,0.00038967657019384205,0.0,0.0,0.0,0.0,True
DEVELOPMENT_VALIDATION,H_EQUAL_TOTAL_BIT_MAP_B,equal_bits_for_C16,7,128,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,324.875,1590.0,0.0,0.00014265155368775595,0.0001177914100480848,0.0,0.0,0.0,0.0,True
DEVELOPMENT_VALIDATION,H_EQUAL_TOTAL_BIT_MAP_B,equal_bits_for_C16,15,128,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,149.921875,1590.0,0.0,0.00016941015746851917,9.162656533590052e-05,0.0,0.0,0.0,0.0,True
