schema_version,cell_id,dimensions,substrate,arm_id,exact_recovery_rate,median_decode_time_sec,p90_decode_time_sec,exact_recoveries_per_second,compute_spent_per_exact_recovery_sec
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step12_r4_majority_vote,0.1875,0.08790270200000805,0.09927159330001131,2.140614137793637,0.4671556551666593
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step12_r4_random_restart_selection,0.03125,0.08517805750001628,0.1006440398000052,0.35579968031110953,2.8105702600002473
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step32,0.03125,0.054274886500010666,0.072763637099996,0.5791556237301926,1.726651627000109
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step32_r4_best_native_reconstruction,0.28125,0.21783728100004396,0.2354441816000133,1.3125632770075497,0.7618680314444362
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step32_r4_majority_vote,0.375,0.20580759649998015,0.2454433150999762,1.8232695341331033,0.5484652604999857
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step32_r4_random_restart_selection,0.09375,0.21881260350001241,0.2423834793000168,0.43585958006983705,2.2943168986667026
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step64,0.09375,0.10299080349999201,0.12877039589999129,1.081881102331426,0.9243159879999988
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_wallclock_matched_bcf_median,0.0625,0.045943459000000075,0.05637886209999011,1.3232776905848656,0.7556992815000285
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_wallclock_matched_bcf_p90,0.21875,0.11145107099999052,0.11933474369995736,1.956745762577406,0.5110525951428713
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step12,0.25,0.018983460499995886,0.0278169608999832,13.407135749910008,0.07458714662501365
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step128,0.53125,0.03279749200000026,0.058228126900010585,15.610661234608623,0.06405878552940561
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step12_r4_best_native_reconstruction,0.34375,0.07897590549997346,0.09850494769998193,4.2090298006814875,0.23758444281817373
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step12_r4_majority_vote,0.34375,0.08115980250001087,0.09530111260004048,4.229089360026425,0.23645752427273176
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step12_r4_random_restart_selection,0.125,0.08450641699998584,0.10049611570000253,1.4671320492175262,0.6816019052499982
