schema_version,cell_id,dimensions,arm_id,selection_rule,mean_restart_count,mean_restart_agreement,mean_unique_proposal_count,mean_best_native_reconstruction,mean_selected_native_reconstruction,mean_prediction_change_count,mean_trajectory_stability
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,map_1024_step12_r4_random_restart_selection,random_restart_selection,4,0.296875,3.8125,0.33734130859375,0.13031005859375,39.8125,0.14520850243506492
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,map_1024_step32_r4_best_native_reconstruction,best_native_reconstruction,4,0.4453125,3.125,0.57366943359375,0.57366943359375,73.375,0.1644301240361418
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,map_1024_step32_r4_majority_vote,majority_vote,4,0.4453125,3.125,0.6051025390625,0.41217041015625,69.84375,0.17914596983733402
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,map_1024_step32_r4_random_restart_selection,random_restart_selection,4,0.4765625,3,0.48162841796875,0.21923828125,72.71875,0.16532944311206488
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,map_1024_wallclock_matched_bcf_median,best_native_reconstruction,2.53125,0.421875,2.5,0.1796875,0.1796875,24.65625,0.1460464015151515
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,map_1024_wallclock_matched_bcf_p90,best_native_reconstruction,5.34375,0.24322916666666666,5.0625,0.4586181640625,0.4586181640625,52,0.15122993326118325
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,map_512_step12_r4_best_native_reconstruction,best_native_reconstruction,4,0.5,2.9375,0.7578124545980245,0.7578124545980245,21.375,0.38367830086580085
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,map_512_step12_r4_majority_vote,majority_vote,4,0.53125,2.75,0.8857421334832907,0.5158691094256938,20,0.40142045454545455
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,map_512_step12_r4_random_restart_selection,random_restart_selection,4,0.515625,2.8125,0.5766601214418188,0.2463378751417622,22.1875,0.37193925865800864
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,map_512_step32_r4_best_native_reconstruction,best_native_reconstruction,4,0.53125,2.75,0.7578124545980245,0.7578124545980245,21.9375,0.397213829892695
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,map_512_step32_r4_majority_vote,majority_vote,4,0.53125,2.75,0.942871036939323,0.5158691094256938,20.3125,0.40759318806193806
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,map_512_step32_r4_random_restart_selection,random_restart_selection,4,0.5625,2.5625,0.5759276995668188,0.24389646953204647,23.25,0.38304334097919623
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,map_512_wallclock_matched_bcf_median,best_native_reconstruction,2.5,0.5833333333333334,2.0625,0.6350097264512442,0.6350097264512442,10.75,0.42139136904761904
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,map_512_wallclock_matched_bcf_p90,best_native_reconstruction,2.7333333333333334,0.5444444444444444,2.2666666666666666,0.6770832920446992,0.6770832920446992,13.933333333333334,0.39265271765271764
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,map_1024_step12_r4_best_native_reconstruction,best_native_reconstruction,4,0.546875,2.75,0.69482421875,0.69482421875,14.875,0.48292579816017317
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,map_1024_step12_r4_majority_vote,majority_vote,4,0.59375,2.4375,0.634765625,0.376220703125,15.0625,0.4695532332251082
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,map_1024_step12_r4_random_restart_selection,random_restart_selection,4,0.515625,2.8125,0.6888427734375,0.1895751953125,15.375,0.46789603625541126
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,map_1024_step32_r4_best_native_reconstruction,best_native_reconstruction,4,0.546875,2.75,0.69482421875,0.69482421875,14.875,0.4859735316766567
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,map_1024_step32_r4_majority_vote,majority_vote,4,0.59375,2.4375,0.634765625,0.376220703125,15.0625,0.4705548357892108
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,map_1024_step32_r4_random_restart_selection,random_restart_selection,4,0.53125,2.75,0.6888427734375,0.1895751953125,15.5,0.471526845550283
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,map_1024_wallclock_matched_bcf_median,best_native_reconstruction,2.625,0.6354166666666666,2,0.2635498046875,0.2635498046875,9.6875,0.4705131673881674
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,map_1024_wallclock_matched_bcf_p90,best_native_reconstruction,3.4375,0.6083333333333333,2.3125,0.8114013671875,0.8114013671875,11.8125,0.48338113275613276
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,map_512_step12_r4_best_native_reconstruction,best_native_reconstruction,4,0.25,4,0.05712890007998794,0.05712890007998794,44,0.08333333333333333
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,map_512_step12_r4_majority_vote,majority_vote,4,0.25,4,0.04638671356951818,0.04638671356951818,44,0.08333333333333333
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,map_512_step12_r4_random_restart_selection,random_restart_selection,4,0.25,4,0.04272460668289568,-0.01708984054857865,44,0.08333333333333333
