schema_version,cell_id,dimensions,substrate,arm_id,median_decode_time_sec,p90_decode_time_sec,p99_decode_time_sec,median_end_to_end_time_sec,p90_end_to_end_time_sec,p99_end_to_end_time_sec,same_device_timing
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,BCF,bcf_d512_f3_b4_reference,0.04399143300000219,0.07290720699999441,0.0779718951699924,0.12684041200000706,0.15598870070000148,0.17625553254999038,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,MAP,map_512_step12,0.019978971000000456,0.029508292300003805,0.031011212790003243,0.024038558499995588,0.033848571199993675,0.0382092447799964,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,MAP,map_512_step128,0.023057449500001326,0.06778512759999987,0.13355736324999956,0.028938393499998938,0.0728572121999932,0.13609133191000597,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,MAP,map_512_step12_r4_best_native_reconstruction,0.08773200700000672,0.10005749590000619,0.10520562335999017,0.09270183900000717,0.10500880270001005,0.10860774539000673,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,MAP,map_512_step12_r4_majority_vote,0.09114121250001261,0.11341843999998957,0.12563983511001,0.09665039999998726,0.11723104939999729,0.12918711898999463,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,MAP,map_512_step12_r4_random_restart_selection,0.08155135800000579,0.10136181409998814,0.10686700785000583,0.08686448700000682,0.1039818580999878,0.11295998053002095,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,MAP,map_512_step32,0.027240635500007215,0.05807828079999525,0.06962167870002134,0.030945535500016774,0.06493117140000636,0.07286103701000912,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,MAP,map_512_step32_r4_best_native_reconstruction,0.15941505899999697,0.1918064624000138,0.20155367736999552,0.1628445880000271,0.19447772710001487,0.20700798937998757,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,MAP,map_512_step32_r4_majority_vote,0.16267759249998903,0.21096977559999175,0.2162381018499923,0.16949801999999892,0.21481133370000835,0.22020194898000656,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,MAP,map_512_step32_r4_random_restart_selection,0.15228774399999168,0.21546588070001466,0.2253797328599923,0.1552259334999775,0.21940669089997444,0.22983845661999924,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,MAP,map_512_step64,0.023792616000001487,0.07072461119999789,0.11397323859001077,0.028552593000007676,0.07600748969999245,0.11731622193001273,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,MAP,map_512_wallclock_matched_bcf_median,0.04289494149999484,0.05075025600001339,0.05447208821999553,0.04730797749999738,0.05454352300003223,0.05709742934998744,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,MAP,map_512_wallclock_matched_bcf_p90,0.08340518250000173,0.09546771279998155,0.09836367883999059,0.08909146249999367,0.09957061869999109,0.10454927029998615,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,1024,MAP,map_1024_step12,0.013141489499993497,0.02886648870000244,0.0350556614699923,0.018502609000002224,0.03391774700000099,0.03910696592998165,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,1024,MAP,map_1024_step128,0.014128891999995119,0.02777914179999641,0.03437094968999418,0.01863891200000012,0.0367694131999798,0.03901612429999758,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,1024,MAP,map_1024_step12_r4_best_native_reconstruction,0.07218706450001378,0.09207945159999156,0.10168629014001554,0.07781025050000068,0.10039226769999772,0.10963363772002852,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,1024,MAP,map_1024_step12_r4_majority_vote,0.07377030199999979,0.09867791360000382,0.10910069612001323,0.07932376899999838,0.1017987522000027,0.11354147602999631,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,1024,MAP,map_1024_step12_r4_random_restart_selection,0.07858526849998526,0.09008919949999523,0.10182131147999557,0.0823107909999905,0.0969089111999807,0.1056832073999813,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,1024,MAP,map_1024_step32,0.017888274499995305,0.03280284390000362,0.04666261745001481,0.02137319900000989,0.03944261439997661,0.05307898371999828,True
