schema_version,cell_id,cell_classification,dimensions,substrate,arm_id,trials,exact_recovery_rate,exact_recovery_ci_low,exact_recovery_ci_high,partial_recovery_rate,per_factor_accuracy,wrong_tuple_output_rate,mean_executed_steps,mean_restart_count
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,512,MAP,map_512_step12_r4_majority_vote,32,0.1875,0.08889544689565954,0.3530915520137596,0.28125,0.28125,0.8125,47.84375,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,512,MAP,map_512_step12_r4_random_restart_selection,32,0.03125,0.005537860164003122,0.15744263820012558,0.25,0.11458333333333333,0.96875,47.78125,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,512,MAP,map_512_step32,32,0.03125,0.005537860164003122,0.15744263820012558,0.3125,0.13541666666666666,0.96875,28.28125,1
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,512,MAP,map_512_step32_r4_best_native_reconstruction,32,0.28125,0.15564580497742764,0.45374509425916565,0.1875,0.34375,0.71875,117.84375,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,512,MAP,map_512_step32_r4_majority_vote,32,0.375,0.22933887309454212,0.5474559264692255,0.25,0.4583333333333333,0.625,112.5,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,512,MAP,map_512_step32_r4_random_restart_selection,32,0.09375,0.032401551298366194,0.24218154728387864,0.34375,0.20833333333333334,0.90625,117.8125,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,512,MAP,map_512_step64,32,0.09375,0.032401551298366194,0.24218154728387864,0.46875,0.2604166666666667,0.90625,47.75,1
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,512,MAP,map_512_wallclock_matched_bcf_median,32,0.0625,0.017310567031640967,0.2014712314415458,0.25,0.14583333333333334,0.9375,24.9375,2.09375
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,512,MAP,map_512_wallclock_matched_bcf_p90,32,0.21875,0.11023836252604186,0.3875499364924353,0.34375,0.3333333333333333,0.78125,63.09375,5.3125
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,1024,MAP,map_1024_step12,32,0.25,0.1325240091850904,0.4210655899424448,0.375,0.375,0.75,10.375,1
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,1024,MAP,map_1024_step128,32,0.53125,0.3644951711897464,0.6913061289193116,0.46875,0.6875,0.46875,17.84375,1
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,1024,MAP,map_1024_step12_r4_best_native_reconstruction,32,0.34375,0.20410437924433172,0.5168891202103778,0.3125,0.4479166666666667,0.65625,45.9375,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,1024,MAP,map_1024_step12_r4_majority_vote,32,0.34375,0.20410437924433172,0.5168891202103778,0.28125,0.4375,0.65625,45.1875,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,1024,MAP,map_1024_step12_r4_random_restart_selection,32,0.125,0.04970134387480073,0.2806830548165022,0.375,0.25,0.875,46.0625,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,1024,MAP,map_1024_step32,32,0.4375,0.2816533111504036,0.6067440886314801,0.53125,0.625,0.5625,16.8125,1
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,1024,MAP,map_1024_step32_r4_best_native_reconstruction,32,0.5625,0.3932559113685198,0.7183466888495963,0.40625,0.6979166666666666,0.4375,83.625,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,1024,MAP,map_1024_step32_r4_majority_vote,32,0.40625,0.2551963484266544,0.5773997512461713,0.59375,0.6041666666666666,0.59375,80.28125,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,1024,MAP,map_1024_step32_r4_random_restart_selection,32,0.21875,0.11023836252604186,0.3875499364924353,0.65625,0.4375,0.78125,82.96875,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,1024,MAP,map_1024_step64,32,0.53125,0.3644951711897464,0.6913061289193116,0.46875,0.6875,0.46875,17.84375,1
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,1024,MAP,map_1024_wallclock_matched_bcf_median,32,0.15625,0.0686442028250571,0.3175414959753039,0.3125,0.2604166666666667,0.84375,28.5625,2.53125
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,PRIMARY,1024,MAP,map_1024_wallclock_matched_bcf_p90,32,0.4375,0.2816533111504036,0.6067440886314801,0.21875,0.5104166666666666,0.5625,60.5,5.34375
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,512,BCF,bcf_d512_f3_b4_reference,16,1.0,0.8063923194655637,1.0,0.0,1.0,0.0,2.125,1
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,512,MAP,map_512_step12,16,1.0,0.8063923194655637,1.0,0.0,1.0,0.0,3.5625,1
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,512,MAP,map_512_step128,16,1.0,0.8063923194655637,1.0,0.0,1.0,0.0,3.5625,1
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,512,MAP,map_512_step12_r4_best_native_reconstruction,16,0.75,0.5050168346449122,0.8981793250878696,0.25,0.8333333333333334,0.25,32.4375,4
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,512,MAP,map_512_step12_r4_majority_vote,16,0.5,0.27999563610326017,0.7200043638967398,0.5,0.6666666666666666,0.5,31.75,4
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,512,MAP,map_512_step12_r4_random_restart_selection,16,0.25,0.10182067491213048,0.49498316535508774,0.6875,0.4791666666666667,0.75,33.375,4
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,512,MAP,map_512_step32,16,1.0,0.8063923194655637,1.0,0.0,1.0,0.0,3.5625,1
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,512,MAP,map_512_step32_r4_best_native_reconstruction,16,0.75,0.5050168346449122,0.8981793250878696,0.25,0.8333333333333334,0.25,33.9375,4
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,512,MAP,map_512_step32_r4_majority_vote,16,0.5,0.27999563610326017,0.7200043638967398,0.5,0.6666666666666666,0.5,32.5,4
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,512,MAP,map_512_step32_r4_random_restart_selection,16,0.25,0.10182067491213048,0.49498316535508774,0.75,0.5,0.75,35.3125,4
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,512,MAP,map_512_step64,16,1.0,0.8063923194655637,1.0,0.0,1.0,0.0,3.5625,1
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,512,MAP,map_512_wallclock_matched_bcf_median,16,0.625,0.38641040545502714,0.8151876744113636,0.375,0.75,0.375,18.0625,2.5
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,512,MAP,map_512_wallclock_matched_bcf_p90,16,0.625,0.38641040545502714,0.8151876744113636,0.375,0.75,0.375,21.25,2.625
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,1024,MAP,map_1024_step12,16,0.9375,0.7167126242970107,0.9888806552353576,0.0625,0.9583333333333334,0.0625,3.375,1
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,1024,MAP,map_1024_step128,16,0.9375,0.7167126242970107,0.9888806552353576,0.0625,0.9583333333333334,0.0625,3.375,1
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,1024,MAP,map_1024_step12_r4_best_native_reconstruction,16,0.6875,0.44404355834740666,0.8583535614521796,0.3125,0.7916666666666666,0.3125,26.6875,4
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,1024,MAP,map_1024_step12_r4_majority_vote,16,0.375,0.18481232558863633,0.6135895945449727,0.625,0.5833333333333334,0.625,27.0625,4
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,1024,MAP,map_1024_step12_r4_random_restart_selection,16,0.1875,0.06591599071428142,0.4300888096197414,0.8125,0.4583333333333333,0.8125,27.125,4
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,1024,MAP,map_1024_step32,16,0.9375,0.7167126242970107,0.9888806552353576,0.0625,0.9583333333333334,0.0625,3.375,1
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,1024,MAP,map_1024_step32_r4_best_native_reconstruction,16,0.6875,0.44404355834740666,0.8583535614521796,0.3125,0.7916666666666666,0.3125,26.875,4
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,1024,MAP,map_1024_step32_r4_majority_vote,16,0.375,0.18481232558863633,0.6135895945449727,0.625,0.5833333333333334,0.625,27.125,4
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,1024,MAP,map_1024_step32_r4_random_restart_selection,16,0.1875,0.06591599071428142,0.4300888096197414,0.8125,0.4583333333333333,0.8125,27.5,4
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,1024,MAP,map_1024_step64,16,0.9375,0.7167126242970107,0.9888806552353576,0.0625,0.9583333333333334,0.0625,3.375,1
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,1024,MAP,map_1024_wallclock_matched_bcf_median,16,0.25,0.10182067491213048,0.49498316535508774,0.75,0.5,0.75,17.6875,2.625
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,SANITY,1024,MAP,map_1024_wallclock_matched_bcf_p90,16,0.8125,0.5699111903802586,0.9340840092857187,0.1875,0.875,0.1875,22.1875,3.4375
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,512,BCF,bcf_d512_f3_b4_reference,16,1.0,0.8063923194655637,1.0,0.0,1.0,0.0,21.6875,1
