schema_version,cell_id,substrate,method_id,timed_trials,median_materialization_time_sec,median_factorization_time_sec,median_end_to_end_task_time_sec,same_device_timing_status,device
level1f3-single-product-v1,EASY_SINGLE,BCF,oracle_truth_included_quarter,4,0.05935902300007001,0.031997461501305224,0.09263987150188768,same_wsl_gpu,cuda:0
level1f3-single-product-v1,EASY_SINGLE,BCF,random_unconditional_half,4,0.07591653999770642,0.15216605899877322,0.22630579599899647,same_wsl_gpu,cuda:0
level1f3-single-product-v1,EASY_SINGLE,BCF,random_unconditional_quarter,4,0.060124491499664146,0.13423832899934496,0.21994991050087265,same_wsl_gpu,cuda:0
level1f3-single-product-v1,EASY_SINGLE,BCF,semantic_l2_half,4,0.0673303114981536,0.031034152998472564,0.09836446449662617,same_wsl_gpu,cuda:0
level1f3-single-product-v1,EASY_SINGLE,BCF,semantic_l2_quarter,4,0.06358113449823577,0.15201280049950583,0.2119524219979212,same_wsl_gpu,cuda:0
level1f3-single-product-v1,EASY_SINGLE,MAP,global,4,0.014999147000708035,0.005741447499531205,0.021284092001224053,same_wsl_gpu,cuda:0
level1f3-single-product-v1,EASY_SINGLE,MAP,oracle_truth_included_half,4,0.014802456498728134,0.006484032997832401,0.02445844949761522,same_wsl_gpu,cuda:0
level1f3-single-product-v1,EASY_SINGLE,MAP,oracle_truth_included_quarter,4,0.014681438999105012,0.0051663649992406135,0.02107893399988825,same_wsl_gpu,cuda:0
level1f3-single-product-v1,EASY_SINGLE,MAP,random_unconditional_half,4,0.01669994799885899,0.0076136134994158056,0.02545509900119214,same_wsl_gpu,cuda:0
level1f3-single-product-v1,EASY_SINGLE,MAP,random_unconditional_quarter,4,0.014756686498003546,0.010684723500162363,0.03088581349948072,same_wsl_gpu,cuda:0
level1f3-single-product-v1,EASY_SINGLE,MAP,semantic_l2_half,4,0.01472760999968159,0.005154451000635163,0.02724506249978731,same_wsl_gpu,cuda:0
level1f3-single-product-v1,EASY_SINGLE,MAP,semantic_l2_quarter,4,0.014803680998738855,0.00878634100081399,0.023831265500120935,same_wsl_gpu,cuda:0
