schema_version,seed_split,cell_id,operating_point_label,substrate,method_id,subset_size_label,context_accuracy,anomaly_rate,representation_dimension,trials,exact_recovery_rate,partial_recovery_rate,failure_rate,per_factor_recovery_rate,truth_inclusion_rate,mean_iterations,mean_materialization_time_sec,mean_factorization_time_sec,mean_end_to_end_task_time_sec,mean_native_codebook_bytes,mean_native_observation_bytes,mean_runtime_state_bytes,mean_peak_cuda_memory_bytes,mean_peak_cpu_memory_bytes,same_device_timing_status,bcf_config_id,upstream_commit_sha
level1f3-single-product-v1,development,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,global,full,0.7,0.25,1024,32,0.25,0.375,0.375,0.3671875,1.0,10.21875,0.020567354093600443,0.03080897187521714,0.05137632596881758,163840.0,4096.0,16544.0,10263056.0,1092833280.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,oracle_truth_included_half,half,0.7,0.25,1024,32,0.96875,0.03125,0.0,0.984375,1.0,3.5625,0.016205920687298203,0.005990046281226569,0.022195966968524772,163840.0,4096.0,16464.0,9879152.0,1094889472.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,random_unconditional_half,half,0.7,0.25,1024,32,0.03125,0.3125,0.65625,0.1484375,0.03125,11.71875,0.01636930021891203,0.023902800906284938,0.04027210112519697,163840.0,4096.0,16464.0,9902480.0,1094868992.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,semantic_l2_half,half,0.7,0.25,1024,32,0.25,0.28125,0.46875,0.3359375,0.25,9.8125,0.01618162409397428,0.01681707153181833,0.03299869562579261,163840.0,4096.0,16464.0,9911312.0,1094885376.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,EASY_SINGLE,EASY_SINGLE,BCF,global,full,0.9,0.1,512,32,1.0,0.0,0.0,1.0,1.0,2.0,0.03522308034428079,0.034202220968950314,0.0694253013132311,30960.0,2048.0,6144.0,8975584.0,1088864256.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,EASY_SINGLE,EASY_SINGLE,BCF,oracle_truth_included_half,half,0.9,0.1,512,32,1.0,0.0,0.0,1.0,1.0,2.0,0.0555173406570475,0.029052693156017995,0.08457003381306549,18576.0,2048.0,6144.0,8968128.0,1088905216.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,EASY_SINGLE,EASY_SINGLE,BCF,random_unconditional_half,half,0.9,0.1,512,32,0.25,0.34375,0.40625,0.4166666666666667,0.25,6.5,0.05388458725019518,0.10504028200034554,0.15892486925054072,18576.0,2048.0,6144.0,8957216.0,1088884736.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,EASY_SINGLE,EASY_SINGLE,BCF,semantic_l2_half,half,0.9,0.1,512,32,0.53125,0.4375,0.03125,0.7083333333333334,0.53125,4.8125,0.05268522390701946,0.08041856831255245,0.13310379221957191,18576.0,2048.0,6144.0,8962320.0,1088901120.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,EASY_SINGLE,EASY_SINGLE,MAP,global,full,0.9,0.1,256,32,1.0,0.0,0.0,1.0,1.0,3.25,0.026513082843962366,0.017615819687534895,0.04412890253149726,15360.0,1024.0,3132.0,9019312.0,1086091264.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,EASY_SINGLE,EASY_SINGLE,MAP,oracle_truth_included_half,half,0.9,0.1,256,32,1.0,0.0,0.0,1.0,1.0,3.0,0.021424274562605206,0.005070027344004302,0.026494301906609508,15360.0,1024.0,3108.0,8962624.0,1088905216.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,EASY_SINGLE,EASY_SINGLE,MAP,random_unconditional_half,half,0.9,0.1,256,32,0.25,0.21875,0.53125,0.34375,0.25,6.625,0.021652446969255834,0.01143229768774745,0.033084744657003284,15360.0,1024.0,3108.0,8957696.0,1088876544.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,EASY_SINGLE,EASY_SINGLE,MAP,semantic_l2_half,half,0.9,0.1,256,32,0.53125,0.25,0.21875,0.625,0.53125,4.65625,0.021589379968759204,0.008387878062421805,0.02997725803118101,15360.0,1024.0,3108.0,8964160.0,1088901120.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,BCF,global,full,0.9,0.1,512,128,0.0703125,0.53125,0.3984375,0.267578125,1.0,15.203125,0.05454395084368002,0.3457102016095348,0.40025415245321483,82560.0,2048.0,8192.0,10042564.0,1097952256.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,BCF,oracle_truth_included_half,half,0.9,0.1,512,128,0.671875,0.3125,0.015625,0.853515625,1.0,9.1875,0.0816248485545259,0.209194225711002,0.2908190742655279,41280.0,2048.0,8192.0,9988488.0,1098148864.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,BCF,oracle_truth_included_quarter,quarter,0.9,0.1,512,128,1.0,0.0,0.0,1.0,1.0,2.0,0.07260459106262829,0.04242300784392228,0.11502759890655057,24768.0,2048.0,8192.0,9962376.0,1098148864.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,BCF,random_unconditional_half,half,0.9,0.1,512,128,0.046875,0.328125,0.625,0.14453125,0.0546875,15.578125,0.08120800568741515,0.3532877347497845,0.43449574043719963,41280.0,2048.0,8192.0,10001236.0,1097954304.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,BCF,random_unconditional_quarter,quarter,0.9,0.1,512,128,0.0078125,0.359375,0.6328125,0.115234375,0.0078125,15.890625,0.0725696502890969,0.3715648380390064,0.4441344883281033,24768.0,2048.0,8192.0,9994656.0,1097958400.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,BCF,semantic_l2_half,half,0.9,0.1,512,128,0.34375,0.421875,0.234375,0.505859375,0.375,13.6484375,0.08251840800787136,0.31685850495307477,0.39937691296094613,41280.0,2048.0,8192.0,9994316.0,1098146816.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,BCF,semantic_l2_quarter,quarter,0.9,0.1,512,128,0.2890625,0.4921875,0.21875,0.51171875,0.2890625,11.953125,0.07308147699211531,0.26582139846883024,0.33890287546094555,24768.0,2048.0,8192.0,9994624.0,1098148864.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,MAP,global,full,0.9,0.1,1024,128,0.1953125,0.421875,0.3828125,0.37109375,1.0,10.515625,0.009165125031358912,0.024163121812534882,0.033328246843893794,163840.0,4096.0,16544.0,10695852.0,1097447424.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,MAP,oracle_truth_included_half,half,0.9,0.1,1024,128,0.953125,0.0390625,0.0078125,0.97265625,1.0,3.6875,0.008642440687594899,0.008127332117169317,0.016769772804764216,163840.0,4096.0,16464.0,10287992.0,1098148864.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,MAP,oracle_truth_included_quarter,quarter,0.9,0.1,1024,128,1.0,0.0,0.0,1.0,1.0,3.0,0.008600094046755657,0.006470304382872882,0.01507039842962854,163840.0,4096.0,16432.0,10163656.0,1098148864.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,MAP,random_unconditional_half,half,0.9,0.1,1024,128,0.0546875,0.34375,0.6015625,0.15625,0.0546875,11.4921875,0.008721405281363559,0.024883406468632074,0.03360481174999563,163840.0,4096.0,16464.0,10304528.0,1097954304.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,MAP,random_unconditional_quarter,quarter,0.9,0.1,1024,128,0.0078125,0.34375,0.6484375,0.103515625,0.0078125,10.3203125,0.008792665687622048,0.02242674282013013,0.031219408507752178,163840.0,4096.0,16432.0,10203308.0,1097956352.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,MAP,semantic_l2_half,half,0.9,0.1,1024,128,0.359375,0.25,0.390625,0.4296875,0.375,8.6796875,0.008566394742075545,0.017660995984215333,0.026227390726290878,163840.0,4096.0,16464.0,10284152.0,1097961472.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,MAP,semantic_l2_quarter,quarter,0.9,0.1,1024,128,0.2890625,0.4140625,0.296875,0.42578125,0.2890625,8.1796875,0.008620625203150212,0.016822327757580524,0.025442952960730736,163840.0,4096.0,16432.0,10196396.0,1098148864.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,BCF,global,full,0.7,0.25,512,64,0.078125,0.5625,0.359375,0.2578125,1.0,15.078125,0.05762434003162298,0.35875782968753356,0.41638216971915654,82560.0,2048.0,8192.0,9827192.0,1094832128.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,BCF,oracle_truth_included_half,half,0.7,0.25,512,64,0.625,0.375,0.0,0.87109375,1.0,10.046875,0.08622240881294374,0.23564151209416195,0.3218639209071057,41280.0,2048.0,8192.0,9791088.0,1095217152.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,BCF,oracle_truth_included_quarter,quarter,0.7,0.25,512,64,1.0,0.0,0.0,1.0,1.0,2.0,0.0775108177035122,0.04436117970317355,0.12187199740668575,24768.0,2048.0,8192.0,9758816.0,1095219200.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,BCF,random_unconditional_half,half,0.7,0.25,512,64,0.03125,0.4375,0.53125,0.16796875,0.046875,15.5625,0.08691138912541874,0.35859876840601146,0.4455101575314302,41280.0,2048.0,8192.0,9803448.0,1094832128.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,BCF,random_unconditional_quarter,quarter,0.7,0.25,512,64,0.0,0.375,0.625,0.10546875,0.0,16.0,0.07722086378180393,0.3737529471404173,0.4509738109222212,24768.0,2048.0,8192.0,9791432.0,1094836224.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,BCF,semantic_l2_half,half,0.7,0.25,512,64,0.203125,0.484375,0.3125,0.390625,0.234375,14.28125,0.08820829018753784,0.33463212618755733,0.4228404163750952,41280.0,2048.0,8192.0,9780136.0,1095215104.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,BCF,semantic_l2_quarter,quarter,0.7,0.25,512,64,0.15625,0.59375,0.25,0.41796875,0.15625,13.8125,0.0770128653286406,0.3062061430781,0.3832190084067406,24768.0,2048.0,8192.0,9779448.0,1095217152.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,global,full,0.7,0.25,1024,64,0.125,0.53125,0.34375,0.34375,1.0,11.0625,0.01577134981243944,0.031547276749961384,0.04731862656240082,163840.0,4096.0,16544.0,10480488.0,1093822464.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,oracle_truth_included_half,half,0.7,0.25,1024,64,0.890625,0.09375,0.015625,0.9375,1.0,4.203125,0.013508921046991418,0.008260968406318625,0.021769889453310043,163840.0,4096.0,16464.0,10081544.0,1095217152.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,oracle_truth_included_quarter,quarter,0.7,0.25,1024,64,1.0,0.0,0.0,1.0,1.0,3.0,0.013499806703066497,0.006110208656139093,0.01961001535920559,163840.0,4096.0,16432.0,9960096.0,1095219200.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,random_unconditional_half,half,0.7,0.25,1024,64,0.046875,0.390625,0.5625,0.1640625,0.046875,11.46875,0.013575489765401016,0.023561770031108153,0.03713725979650917,163840.0,4096.0,16464.0,10097960.0,1094832128.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,random_unconditional_quarter,quarter,0.7,0.25,1024,64,0.0,0.328125,0.671875,0.0859375,0.0,10.3125,0.013685681296976782,0.021809944109634216,0.035495625406611,163840.0,4096.0,16432.0,10005560.0,1094836224.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,semantic_l2_half,half,0.7,0.25,1024,64,0.21875,0.375,0.40625,0.328125,0.234375,10.078125,0.013513892718549414,0.021162730874891622,0.034676623593441036,163840.0,4096.0,16464.0,10070992.0,1094844416.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,semantic_l2_quarter,quarter,0.7,0.25,1024,64,0.15625,0.390625,0.453125,0.265625,0.15625,9.796875,0.013708684437176544,0.02051921557847436,0.0342279000156509,163840.0,4096.0,16432.0,9982200.0,1095217152.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,EASY_SINGLE,EASY_SINGLE,BCF,global,full,0.9,0.1,512,64,1.0,0.0,0.0,1.0,1.0,2.0,0.035458219953000025,0.03333839635905633,0.06879661631205636,30960.0,2048.0,6144.0,9058592.0,1088450560.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,EASY_SINGLE,EASY_SINGLE,BCF,oracle_truth_included_half,half,0.9,0.1,512,64,1.0,0.0,0.0,1.0,1.0,2.0,0.054618907484098145,0.0287623794688443,0.08338128695294245,18576.0,2048.0,6144.0,9047152.0,1088468992.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
