schema_version,seed_split,operating_point_label,method,control_label,anomaly_rate,context_accuracy,prior_strength,candidate_subset_size,trials,designated_target_recovery_rate,designated_target_recovery_ci_low,designated_target_recovery_ci_high,query_valid_recovery_rate,query_valid_recovery_ci_low,query_valid_recovery_ci_high,query_equivalent_valid_rate,irrelevant_source_capture_rate,hybrid_spurious_rate,hybrid_spurious_ci_low,hybrid_spurious_ci_high,unsettled_rate,all_truth_included_rate,query_valid_source_included_rate,factor_candidate_recall_rate,target_recovery_given_all_truth_included,valid_recovery_given_all_truth_included,target_recovery_given_truth_missing,mean_iterations_used,mean_candidate_evaluations_proxy,mean_element_operations_proxy,mean_normalized_margin,mean_normalized_reconstruction_similarity,context_prediction_correct_rate,python_version,torch_version,torchhd_version,platform
level1-query-v4,calibration,COLLAPSE_SINGLE,soft_l2_weighted_initialization,normal,0.1,0.7,1.0,10,24,0.5833333333333334,0.3883433764938864,0.7553265275346177,0.5833333333333334,0.3883433764938864,0.7553265275346177,0.0,0.0,0.041666666666666664,0.007393265354805126,0.20242226248842232,0.375,1.0,1.0,1.0,0.5833333333333334,0.5833333333333334,,7.041666666666667,281.6666666666667,288426.6666666667,0.661915523543333,0.58251953125,0.6666666666666666,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,calibration,COLLAPSE_SINGLE,soft_l2_weighted_initialization,normal,0.1,0.7,2.0,10,24,0.5,0.31427131627763083,0.6857286837223692,0.5,0.31427131627763083,0.6857286837223692,0.0,0.0,0.041666666666666664,0.007393265354805126,0.20242226248842232,0.4583333333333333,1.0,1.0,1.0,0.5,0.5,,7.958333333333333,318.3333333333333,325973.3333333333,0.5860340794703612,0.5082194010416666,0.6666666666666666,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,calibration,COLLAPSE_SINGLE,soft_l2_weighted_initialization,normal,0.1,0.9,0.5,10,24,0.5,0.31427131627763083,0.6857286837223692,0.5,0.31427131627763083,0.6857286837223692,0.0,0.0,0.041666666666666664,0.007393265354805126,0.20242226248842232,0.4583333333333333,1.0,1.0,1.0,0.5,0.5,,8.208333333333334,328.3333333333333,336213.3333333333,0.5545594355401894,0.4996744791666667,0.875,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,calibration,COLLAPSE_SINGLE,soft_l2_weighted_initialization,normal,0.1,0.9,1.0,10,24,0.7083333333333334,0.508319363412903,0.8508553966583573,0.7083333333333334,0.508319363412903,0.8508553966583573,0.0,0.0,0.0,0.0,0.13798057582897535,0.2916666666666667,1.0,1.0,1.0,0.7083333333333334,0.7083333333333334,,6.25,250.0,256000.0,0.7484355131940296,0.7054036458333334,0.875,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,calibration,COLLAPSE_SINGLE,soft_l2_weighted_initialization,normal,0.1,0.9,2.0,10,24,0.6666666666666666,0.4670595949408046,0.8202802131162036,0.6666666666666666,0.4670595949408046,0.8202802131162036,0.0,0.0,0.041666666666666664,0.007393265354805126,0.20242226248842232,0.2916666666666667,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,,6.458333333333333,258.3333333333333,264533.3333333333,0.7191991693495462,0.6695963541666666,0.875,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,calibration,COLLAPSE_SINGLE,soft_l2_weighted_initialization,normal,0.1,1.0,0.5,10,24,0.5,0.31427131627763083,0.6857286837223692,0.5,0.31427131627763083,0.6857286837223692,0.0,0.0,0.0,0.0,0.13798057582897535,0.5,1.0,1.0,1.0,0.5,0.5,,8.166666666666666,326.6666666666667,334506.6666666667,0.5521180292901894,0.4949544270833333,1.0,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,calibration,COLLAPSE_SINGLE,soft_l2_weighted_initialization,normal,0.1,1.0,1.0,10,24,0.7083333333333334,0.508319363412903,0.8508553966583573,0.7083333333333334,0.508319363412903,0.8508553966583573,0.0,0.0,0.0,0.0,0.13798057582897535,0.2916666666666667,1.0,1.0,1.0,0.7083333333333334,0.7083333333333334,,6.208333333333333,248.33333333333334,254293.33333333334,0.7602161716204137,0.7066243489583334,1.0,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,calibration,COLLAPSE_SINGLE,soft_l2_weighted_initialization,normal,0.1,1.0,2.0,10,24,0.7083333333333334,0.508319363412903,0.8508553966583573,0.7083333333333334,0.508319363412903,0.8508553966583573,0.0,0.0,0.08333333333333333,0.023158327842973503,0.258492152014506,0.20833333333333334,1.0,1.0,1.0,0.7083333333333334,0.7083333333333334,,5.791666666666667,231.66666666666666,237226.66666666666,0.7707891900402805,0.7091471354166666,1.0,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,calibration,COLLAPSE_SINGLE,soft_l2_weighted_initialization,normal,0.25,0.7,0.5,10,24,0.4166666666666667,0.24467347246538232,0.6116566235061137,0.4166666666666667,0.24467347246538232,0.6116566235061137,0.0,0.0,0.08333333333333333,0.023158327842973503,0.258492152014506,0.5,1.0,1.0,1.0,0.4166666666666667,0.4166666666666667,,8.875,355.0,363520.0,0.47821296844631433,0.4093424479166667,0.6666666666666666,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,calibration,COLLAPSE_SINGLE,soft_l2_weighted_initialization,normal,0.25,0.7,1.0,10,24,0.5,0.31427131627763083,0.6857286837223692,0.5,0.31427131627763083,0.6857286837223692,0.0,0.0,0.0,0.0,0.13798057582897535,0.5,1.0,1.0,1.0,0.5,0.5,,7.916666666666667,316.6666666666667,324266.6666666667,0.5750682069143901,0.49951171875,0.6666666666666666,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
