schema_version,seed_split,operating_point_label,method,control_label,anomaly_rate,context_accuracy,prior_strength,candidate_subset_size,trials,designated_target_recovery_rate,designated_target_recovery_ci_low,designated_target_recovery_ci_high,query_valid_recovery_rate,query_valid_recovery_ci_low,query_valid_recovery_ci_high,query_equivalent_valid_rate,irrelevant_source_capture_rate,hybrid_spurious_rate,hybrid_spurious_ci_low,hybrid_spurious_ci_high,unsettled_rate,all_truth_included_rate,query_valid_source_included_rate,factor_candidate_recall_rate,target_recovery_given_all_truth_included,valid_recovery_given_all_truth_included,target_recovery_given_truth_missing,mean_iterations_used,mean_candidate_evaluations_proxy,mean_element_operations_proxy,mean_normalized_margin,mean_normalized_reconstruction_similarity,context_prediction_correct_rate,python_version,torch_version,torchhd_version,platform
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,normal,0.25,0.9,,3,64,0.1875,0.11064534880922099,0.2997459155477517,0.1875,0.11064534880922099,0.2997459155477517,0.0,0.0,0.25,0.16014791974174092,0.36816509174383727,0.5625,0.1875,0.1875,0.66015625,1.0,1.0,0.0,9.171875,110.0625,112704.0,0.6095470141153783,0.186553955078125,0.921875,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,normal,0.25,1.0,,3,64,0.1875,0.11064534880922099,0.2997459155477517,0.1875,0.11064534880922099,0.2997459155477517,0.0,0.0,0.21875,0.13502197461349755,0.3343301633077779,0.59375,0.1875,0.1875,0.6875,1.0,1.0,0.0,9.359375,112.3125,115008.0,0.6100810717325658,0.183990478515625,1.0,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_context_metadata,0.0,0.7,,3,64,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.28125,0.18593226105484584,0.40134162399503504,0.71875,0.0,0.0,0.265625,,,0.0,10.84375,130.125,133248.0,0.5229518373962492,-0.0025634765625,0.734375,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_context_metadata,0.0,0.9,,3,64,0.015625,0.0027634707504014117,0.08334298900290629,0.015625,0.0027634707504014117,0.08334298900290629,0.0,0.0,0.28125,0.18593226105484584,0.40134162399503504,0.703125,0.015625,0.015625,0.27734375,1.0,1.0,0.0,10.65625,127.875,130944.0,0.5147483067121357,0.01824951171875,0.921875,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_context_metadata,0.0,1.0,,3,64,0.015625,0.0027634707504014117,0.08334298900290629,0.015625,0.0027634707504014117,0.08334298900290629,0.0,0.0,0.3125,0.21230909502265743,0.43392566359152623,0.671875,0.015625,0.015625,0.28125,1.0,1.0,0.0,10.546875,126.5625,129600.0,0.5067450718488544,0.01873779296875,1.0,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_context_metadata,0.1,0.7,,3,64,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.21875,0.13502197461349755,0.3343301633077779,0.78125,0.0,0.0,0.26953125,,,0.0,10.859375,130.3125,133440.0,0.4977964941645041,-0.0028076171875,0.734375,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_context_metadata,0.1,0.9,,3,64,0.015625,0.0027634707504014117,0.08334298900290629,0.015625,0.0027634707504014117,0.08334298900290629,0.0,0.0,0.21875,0.13502197461349755,0.3343301633077779,0.765625,0.015625,0.015625,0.2734375,1.0,1.0,0.0,10.6875,128.25,131328.0,0.5025662794942036,0.018096923828125,0.921875,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_context_metadata,0.1,1.0,,3,64,0.015625,0.0027634707504014117,0.08334298900290629,0.015625,0.0027634707504014117,0.08334298900290629,0.0,0.0,0.25,0.16014791974174092,0.36816509174383727,0.734375,0.015625,0.015625,0.2734375,1.0,1.0,0.0,10.5,126.0,129024.0,0.4848568635061383,0.018951416015625,1.0,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_context_metadata,0.25,0.7,,3,64,0.015625,0.0027634707504014117,0.08334298900290629,0.015625,0.0027634707504014117,0.08334298900290629,0.0,0.0,0.25,0.16014791974174092,0.36816509174383727,0.734375,0.015625,0.015625,0.296875,1.0,1.0,0.0,10.484375,125.8125,128832.0,0.5086757079698145,0.018218994140625,0.734375,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_context_metadata,0.25,0.9,,3,64,0.015625,0.0027634707504014117,0.08334298900290629,0.015625,0.0027634707504014117,0.08334298900290629,0.0,0.0,0.21875,0.13502197461349755,0.3343301633077779,0.765625,0.015625,0.015625,0.30078125,1.0,1.0,0.0,10.59375,127.125,130176.0,0.5181484307395294,0.0203857421875,0.921875,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
