schema_version,strategy_id,cost_mode,subset,trials,accepted_exact_coverage,coverage,conditional_risk,silent_wrong_rate,median_latency_sec,p95_latency_sec,p99_latency_sec,median_cold_latency_sec,mean_methods_invoked,mean_persistent_bytes,mean_transient_bytes,mean_materialization_time_sec
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.014877450070343912,0.058314160013105715,0.07384092891705218,0.014877450070343912,2.203125,541728,12552,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.050315799948293716,0.12805028498987658,0.19293711188016452,0.050315799948293716,2.78125,763344,12660,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,PREMATERIALIZED_ALL_VIEWS,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.1681805998669006,0.4171094700461252,0.5017307300376704,0.1681805998669006,3,1674432,13104,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.04055644979234785,0.2786777000874281,0.4426505400333548,0.053874599921982735,2.2734375,806436,12681,0.014733941793110716
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.05487395013915375,0.33125446001649805,0.4706191730347928,0.0716248499811627,2.6614583333333335,993168,12772,0.019255022392220173
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.009490045037819072,0.026034559053368777,0.004330299969296902,1.109375,246240,12408,0.0011706999957823427
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.014877450070343912,0.058314160013105715,0.07384092891705218,0.01838670007418841,2.203125,541728,12552,0.007980760941791232
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.050315799948293716,0.12805028498987658,0.19293711188016452,0.06677709991345182,2.78125,763344,12660,0.015762904689836432
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->BCF_NATIVE->MAP_D1024_ROBUST,LAZY_FALLBACK_VIEW,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.1681805998669006,0.4171094700461252,0.5017307300376704,0.20068474992876872,3,1674432,13104,0.03402140154503286
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->MAP_D1024_FAST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.0679605501354672,0.46003497508354485,0.5771758800488891,0.0679605501354672,2.51171875,806436,12681,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_ROBUST->MAP_D1024_FAST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.10653675004141405,0.47877781490678883,0.6066771030286329,0.10653675004141405,2.9583333333333335,993168,12772,0.0
