schema_version,subset,failed_method,rescue_method,rescued_trial_count,rescue_rate_given_failure,verifier_accepted_rescue_count,verifier_accepted_rescue_rate_given_failure,reverse_rescue_count
oracle-portfolio-v0.1,u1_boundary_1,BCF_NATIVE,MAP_D1024_ROBUST,0,0.0,0,0.0,21
oracle-portfolio-v0.1,u1_boundary_2,MAP_D512_FAST,MAP_D1024_FAST,14,0.28,14,0.28,0
oracle-portfolio-v0.1,u1_boundary_2,MAP_D512_FAST,MAP_D1024_ROBUST,36,1.2857142857142858,36,1.2857142857142858,0
oracle-portfolio-v0.1,u1_boundary_2,MAP_D512_FAST,BCF_NATIVE,64,0.0,64,0.0,0
oracle-portfolio-v0.1,u1_boundary_2,MAP_D1024_FAST,MAP_D512_FAST,0,0.0,0,0.0,14
oracle-portfolio-v0.1,u1_boundary_2,MAP_D1024_FAST,MAP_D1024_ROBUST,28,1.0,28,1.0,6
oracle-portfolio-v0.1,u1_boundary_2,MAP_D1024_FAST,BCF_NATIVE,50,0.0,50,0.0,0
oracle-portfolio-v0.1,u1_boundary_2,MAP_D1024_ROBUST,MAP_D512_FAST,0,0.0,0,0.0,36
oracle-portfolio-v0.1,u1_boundary_2,MAP_D1024_ROBUST,MAP_D1024_FAST,6,0.12,6,0.12,28
oracle-portfolio-v0.1,u1_boundary_2,MAP_D1024_ROBUST,BCF_NATIVE,28,0.0,28,0.0,0
oracle-portfolio-v0.1,u1_boundary_2,BCF_NATIVE,MAP_D512_FAST,0,0.0,0,0.0,64
oracle-portfolio-v0.1,u1_boundary_2,BCF_NATIVE,MAP_D1024_FAST,0,0.0,0,0.0,50
oracle-portfolio-v0.1,u1_boundary_2,BCF_NATIVE,MAP_D1024_ROBUST,0,0.0,0,0.0,28
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D512_FAST,MAP_D1024_FAST,0,0.0,0,0.0,0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D512_FAST,MAP_D1024_ROBUST,0,0.0,0,0.0,0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D512_FAST,BCF_NATIVE,64,0.0,64,0.0,0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D1024_FAST,MAP_D512_FAST,0,0.0,0,0.0,0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D1024_FAST,MAP_D1024_ROBUST,0,0.0,0,0.0,0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D1024_FAST,BCF_NATIVE,64,0.0,64,0.0,0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D1024_ROBUST,MAP_D512_FAST,0,0.0,0,0.0,0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D1024_ROBUST,MAP_D1024_FAST,0,0.0,0,0.0,0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D1024_ROBUST,BCF_NATIVE,64,0.0,64,0.0,0
oracle-portfolio-v0.1,u1_separation_anchor,BCF_NATIVE,MAP_D512_FAST,0,0.0,0,0.0,64
oracle-portfolio-v0.1,u1_separation_anchor,BCF_NATIVE,MAP_D1024_FAST,0,0.0,0,0.0,64
oracle-portfolio-v0.1,u1_separation_anchor,BCF_NATIVE,MAP_D1024_ROBUST,0,0.0,0,0.0,64
