schema_version,subset,left_method,right_method,both_correct,left_correct_right_wrong,left_wrong_right_correct,both_wrong,correct_set_jaccard,failure_set_jaccard,error_correlation_proxy,mcnemar_exact_p
oracle-portfolio-v0.1,u1_easy_anchor,MAP_D1024_ROBUST,MAP_D1024_FAST,45,0,19,0,0.703125,0.0,0.0,3.814697265625e-06
oracle-portfolio-v0.1,u1_easy_anchor,MAP_D1024_ROBUST,BCF_NATIVE,45,0,19,0,0.703125,0.0,0.0,3.814697265625e-06
oracle-portfolio-v0.1,u1_easy_anchor,BCF_NATIVE,MAP_D512_FAST,57,7,0,0,0.890625,0.0,0.0,0.015625
oracle-portfolio-v0.1,u1_easy_anchor,BCF_NATIVE,MAP_D1024_FAST,64,0,0,0,1.0,0.0,0.0,1.0
oracle-portfolio-v0.1,u1_easy_anchor,BCF_NATIVE,MAP_D1024_ROBUST,45,19,0,0,0.703125,0.0,0.0,3.814697265625e-06
oracle-portfolio-v0.1,u1_boundary_1,MAP_D512_FAST,MAP_D1024_FAST,9,4,25,26,0.23684210526315788,0.4727272727272727,0.4727272727272727,0.00010371580719947815
oracle-portfolio-v0.1,u1_boundary_1,MAP_D512_FAST,MAP_D1024_ROBUST,5,8,38,13,0.09803921568627451,0.22033898305084745,0.22033898305084745,9.24769992138863e-06
oracle-portfolio-v0.1,u1_boundary_1,MAP_D512_FAST,BCF_NATIVE,13,0,51,0,0.203125,0.0,0.0,8.881784197001252e-16
oracle-portfolio-v0.1,u1_boundary_1,MAP_D1024_FAST,MAP_D512_FAST,9,25,4,26,0.23684210526315788,0.4727272727272727,0.4727272727272727,0.00010371580719947815
oracle-portfolio-v0.1,u1_boundary_1,MAP_D1024_FAST,MAP_D1024_ROBUST,22,12,21,9,0.4,0.21428571428571427,0.21428571428571427,0.16275565745308995
oracle-portfolio-v0.1,u1_boundary_1,MAP_D1024_FAST,BCF_NATIVE,34,0,30,0,0.53125,0.0,0.0,1.862645149230957e-09
oracle-portfolio-v0.1,u1_boundary_1,MAP_D1024_ROBUST,MAP_D512_FAST,5,38,8,13,0.09803921568627451,0.22033898305084745,0.22033898305084745,9.24769992138863e-06
oracle-portfolio-v0.1,u1_boundary_1,MAP_D1024_ROBUST,MAP_D1024_FAST,22,21,12,9,0.4,0.21428571428571427,0.21428571428571427,0.16275565745308995
oracle-portfolio-v0.1,u1_boundary_1,MAP_D1024_ROBUST,BCF_NATIVE,43,0,21,0,0.671875,0.0,0.0,9.5367431640625e-07
oracle-portfolio-v0.1,u1_boundary_1,BCF_NATIVE,MAP_D512_FAST,13,51,0,0,0.203125,0.0,0.0,8.881784197001252e-16
oracle-portfolio-v0.1,u1_boundary_1,BCF_NATIVE,MAP_D1024_FAST,34,30,0,0,0.53125,0.0,0.0,1.862645149230957e-09
oracle-portfolio-v0.1,u1_boundary_1,BCF_NATIVE,MAP_D1024_ROBUST,43,21,0,0,0.671875,0.0,0.0,9.5367431640625e-07
oracle-portfolio-v0.1,u1_boundary_2,MAP_D512_FAST,MAP_D1024_FAST,0,0,14,50,0.0,0.78125,0.78125,0.0001220703125
oracle-portfolio-v0.1,u1_boundary_2,MAP_D512_FAST,MAP_D1024_ROBUST,0,0,36,28,0.0,0.4375,0.4375,2.9103830456733704e-11
oracle-portfolio-v0.1,u1_boundary_2,MAP_D512_FAST,BCF_NATIVE,0,0,64,0,0.0,0.0,0.0,1.0842021724855044e-19
oracle-portfolio-v0.1,u1_boundary_2,MAP_D1024_FAST,MAP_D512_FAST,0,14,0,50,0.0,0.78125,0.78125,0.0001220703125
oracle-portfolio-v0.1,u1_boundary_2,MAP_D1024_FAST,MAP_D1024_ROBUST,8,6,28,22,0.19047619047619047,0.39285714285714285,0.39285714285714285,0.00019512558355927467
oracle-portfolio-v0.1,u1_boundary_2,MAP_D1024_FAST,BCF_NATIVE,14,0,50,0,0.21875,0.0,0.0,1.7763568394002505e-15
oracle-portfolio-v0.1,u1_boundary_2,MAP_D1024_ROBUST,MAP_D512_FAST,0,36,0,28,0.0,0.4375,0.4375,2.9103830456733704e-11
oracle-portfolio-v0.1,u1_boundary_2,MAP_D1024_ROBUST,MAP_D1024_FAST,8,28,6,22,0.19047619047619047,0.39285714285714285,0.39285714285714285,0.00019512558355927467
oracle-portfolio-v0.1,u1_boundary_2,MAP_D1024_ROBUST,BCF_NATIVE,36,0,28,0,0.5625,0.0,0.0,7.450580596923828e-09
oracle-portfolio-v0.1,u1_boundary_2,BCF_NATIVE,MAP_D512_FAST,0,64,0,0,0.0,0.0,0.0,1.0842021724855044e-19
oracle-portfolio-v0.1,u1_boundary_2,BCF_NATIVE,MAP_D1024_FAST,14,50,0,0,0.21875,0.0,0.0,1.7763568394002505e-15
oracle-portfolio-v0.1,u1_boundary_2,BCF_NATIVE,MAP_D1024_ROBUST,36,28,0,0,0.5625,0.0,0.0,7.450580596923828e-09
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D512_FAST,MAP_D1024_FAST,0,0,0,64,0.0,1.0,1.0,1.0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D512_FAST,MAP_D1024_ROBUST,0,0,0,64,0.0,1.0,1.0,1.0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D512_FAST,BCF_NATIVE,0,0,64,0,0.0,0.0,0.0,1.0842021724855044e-19
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D1024_FAST,MAP_D512_FAST,0,0,0,64,0.0,1.0,1.0,1.0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D1024_FAST,MAP_D1024_ROBUST,0,0,0,64,0.0,1.0,1.0,1.0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D1024_FAST,BCF_NATIVE,0,0,64,0,0.0,0.0,0.0,1.0842021724855044e-19
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D1024_ROBUST,MAP_D512_FAST,0,0,0,64,0.0,1.0,1.0,1.0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D1024_ROBUST,MAP_D1024_FAST,0,0,0,64,0.0,1.0,1.0,1.0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D1024_ROBUST,BCF_NATIVE,0,0,64,0,0.0,0.0,0.0,1.0842021724855044e-19
oracle-portfolio-v0.1,u1_separation_anchor,BCF_NATIVE,MAP_D512_FAST,0,64,0,0,0.0,0.0,0.0,1.0842021724855044e-19
oracle-portfolio-v0.1,u1_separation_anchor,BCF_NATIVE,MAP_D1024_FAST,0,64,0,0,0.0,0.0,0.0,1.0842021724855044e-19
oracle-portfolio-v0.1,u1_separation_anchor,BCF_NATIVE,MAP_D1024_ROBUST,0,64,0,0,0.0,0.0,0.0,1.0842021724855044e-19
