schema_version,subset,method_id,trials,exact_recovery_rate,accepted_exact_coverage,accepted_exact_ci_low,accepted_exact_ci_high,coverage,conditional_risk,silent_wrong_rate,correct_but_rejected_rate,median_latency_sec,p95_latency_sec,p99_latency_sec,mean_persistent_bytes,mean_transient_bytes,mean_materialization_sec,mean_iterations,mean_restarts
oracle-portfolio-v0.1,PORTFOLIO_CALIBRATION,ABSTAIN,128,0.0,0.0,0.0,0.029136956273508416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
oracle-portfolio-v0.1,PORTFOLIO_CALIBRATION,BCF_NATIVE,128,1.0,1.0,0.9708630437264916,1.0,1.0,0.0,0.0,0.0,0.02671609999379143,0.32549503493937637,0.49776093298918594,202788,6144,0.013155210936020012,12.3984375,1.0
oracle-portfolio-v0.1,PORTFOLIO_CALIBRATION,MAP_D1024_FAST,128,0.4609375,0.4609375,0.3769811559809195,0.5471701687279483,0.4609375,0.0,0.0,0.0,0.00901989993872121,0.014493900054367256,0.028125517053995297,402432,12681,0.0031184093768388266,8.5390625,1.0
oracle-portfolio-v0.1,PORTFOLIO_CALIBRATION,MAP_D1024_ROBUST,128,0.5,0.5,0.41465224626050723,0.5853477537394928,0.5,0.0,0.0,0.0,0.06298410007730126,0.15722380992374368,0.26691690405132257,402432,12681,0.0031184093768388266,74.2109375,4.0
oracle-portfolio-v0.1,PORTFOLIO_CALIBRATION,MAP_D512_FAST,128,0.3046875,0.3046875,0.2316056151523922,0.38915100839194705,0.3046875,0.0,0.0,0.0,0.009018750104587525,0.01450165007845497,0.045961631992831854,201216,6537,0.0020329843691797578,9.5390625,1.0
oracle-portfolio-v0.1,u1_boundary_1,ABSTAIN,112,0.0,0.0,3.469446951953614e-18,0.033161347066943875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
oracle-portfolio-v0.1,u1_boundary_1,BCF_NATIVE,112,1.0,1.0,0.9668386529330562,1.0,1.0,0.0,0.0,0.0,0.023310250020585954,0.03832850995240733,0.06393613503314556,136224,6144,0.010781786604119199,3.875,1.0
oracle-portfolio-v0.1,u1_boundary_1,MAP_D1024_FAST,112,0.5178571428571429,0.5178571428571429,0.42626984959636616,0.6082601022941003,0.5178571428571429,0.0,0.0,0.0,0.006838649976998568,0.012695730035193246,0.02791278603370302,270336,12552,0.0023305982166285893,7.919642857142857,1.0
oracle-portfolio-v0.1,u1_boundary_1,MAP_D1024_ROBUST,112,0.7142857142857143,0.7142857142857143,0.6246078206764127,0.7897516020091828,0.7142857142857143,0.0,0.0,0.0,0.040382200095336884,0.12389343509566962,0.1742244230362121,270336,12552,0.0023305982166285893,50.25892857142857,4.0
oracle-portfolio-v0.1,u1_boundary_1,MAP_D512_FAST,112,0.23214285714285715,0.23214285714285715,0.16363031200339673,0.318420409639609,0.23214285714285715,0.0,0.0,0.0,0.008822699950542301,0.012307359912665537,0.019782226014649493,135168,6408,0.0014757741030604979,10.669642857142858,1.0
oracle-portfolio-v0.1,u1_boundary_2,ABSTAIN,112,0.0,0.0,3.469446951953614e-18,0.033161347066943875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
oracle-portfolio-v0.1,u1_boundary_2,BCF_NATIVE,112,1.0,1.0,0.9668386529330562,1.0,1.0,0.0,0.0,0.0,0.03371769993100315,0.10605518492520762,0.18780201193760152,191952,6144,0.013603550900630321,6.892857142857143,1.0
oracle-portfolio-v0.1,u1_boundary_2,MAP_D1024_FAST,112,0.2767857142857143,0.2767857142857143,0.20237779994217758,0.36599780142699384,0.2767857142857143,0.0,0.0,0.0,0.009297999960836023,0.014410300046438347,0.021444473983719948,380928,12660,0.003122250897701763,10.580357142857142,1.0
oracle-portfolio-v0.1,u1_boundary_2,MAP_D1024_ROBUST,112,0.5535714285714286,0.5535714285714286,0.4612503363940854,0.6423395192773136,0.5535714285714286,0.0,0.0,0.0,0.07544464996317402,0.13347609515767542,0.24940689297858626,380928,12660,0.003122250897701763,84.82142857142857,4.0
oracle-portfolio-v0.1,u1_boundary_2,MAP_D512_FAST,112,0.0,0.0,3.469446951953614e-18,0.033161347066943875,0.0,0.0,0.0,0.0,0.009673249965999275,0.01688054993283001,0.046557728972984484,190464,6516,0.001970445524161083,11.973214285714286,1.0
oracle-portfolio-v0.1,u1_easy_anchor,ABSTAIN,112,0.0,0.0,3.469446951953614e-18,0.033161347066943875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
oracle-portfolio-v0.1,u1_easy_anchor,BCF_NATIVE,112,1.0,1.0,0.9668386529330562,1.0,1.0,0.0,0.0,0.0,0.013480500027071685,0.026062769925920264,0.09755830292939212,61920,6144,0.006023950887278521,2.0089285714285716,1.0
oracle-portfolio-v0.1,u1_easy_anchor,MAP_D1024_FAST,112,1.0,1.0,0.9668386529330562,1.0,1.0,0.0,0.0,0.0,0.002791049948427826,0.004463665082585066,0.009345072944415734,122880,12408,0.0013616285723401234,3.2410714285714284,1.0
oracle-portfolio-v0.1,u1_easy_anchor,MAP_D1024_ROBUST,112,0.7232142857142857,0.7232142857142857,0.6340021985730062,0.7976222000578224,0.7232142857142857,0.0,0.0,0.0,0.020324249868281186,0.05215344505850225,0.10908074686652983,122880,12408,0.0013616285723401234,27.375,4.0
oracle-portfolio-v0.1,u1_easy_anchor,MAP_D512_FAST,112,0.8928571428571429,0.8928571428571429,0.8220190653154164,0.9376398762748422,0.8928571428571429,0.0,0.0,0.0,0.003287100000306964,0.007401030015898853,0.037238532045157646,61440,6264,0.0010491830325918272,4.107142857142857,1.0
oracle-portfolio-v0.1,u1_separation_anchor,ABSTAIN,112,0.0,0.0,3.469446951953614e-18,0.033161347066943875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
oracle-portfolio-v0.1,u1_separation_anchor,BCF_NATIVE,112,1.0,1.0,0.9668386529330562,1.0,1.0,0.0,0.0,0.0,0.133805199933704,0.45730883494834407,0.5286305619787891,421056,6144,0.024534416968111015,32.642857142857146,1.0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D1024_FAST,112,0.0,0.0,3.469446951953614e-18,0.033161347066943875,0.0,0.0,0.0,0.0,0.01119639998069033,0.021739755035378033,0.09814003301435154,835584,13104,0.00589397856362796,12.0,1.0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D1024_ROBUST,112,0.008928571428571428,0.008928571428571428,0.001577854703292133,0.048848468308884896,0.008928571428571428,0.0,0.0,0.0,0.11786185001255944,0.2672075449721887,0.3784362039342523,835584,13104,0.00589397856362796,127.74107142857143,4.0
oracle-portfolio-v0.1,u1_separation_anchor,MAP_D512_FAST,112,0.0,0.0,3.469446951953614e-18,0.033161347066943875,0.0,0.0,0.0,0.0,0.010039149958174676,0.015856205025920646,0.02386254792334512,417792,6960,0.0034738535697605194,12.0,1.0
