schema_version,method_id,budget_contract,corruption_cell,capsule_parse_p50_sec,semantic_fallback_p50_sec,replay_p50_sec,total_p50_sec,total_p95_sec,total_p99_sec
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,1.200009137392044e-06,0.0,0.0002482500276528299,0.0005550500354729593,0.0007648900209460407,0.000887562980642542
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,1.200009137392044e-06,0.0,0.0002374500036239624,0.0005474000936374068,0.0007302800426259633,0.001058534036856144
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M0_ADDITIVE_METADATA_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0011707000085152686,0.0011695499997586012,0.00025569996796548367,0.010903750022407621,0.01388031492824666,0.014210423987824468
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M0_ADDITIVE_METADATA_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0011368499835953116,0.001135899976361543,0.0002677999436855316,0.010381949949078262,0.011444945039693266,0.011750205965945497
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M0_ADDITIVE_METADATA_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0011484000133350492,0.0011472500045783818,0.0,0.009975600056350231,0.010826999956043437,0.011371349006658418
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M0_ADDITIVE_METADATA_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0011513500357978046,0.0011502000270411372,0.0002547500771470368,0.010601749992929399,0.013535669987322758,0.013882315985392777
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M0_ADDITIVE_METADATA_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0012047499767504632,0.0012035500258207321,0.00026739994063973427,0.011375650006812066,0.014539535023504867,0.015141455035191029
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M0_ADDITIVE_METADATA_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0012582000344991684,0.0012568500242196023,0.00021239998750388622,0.012068949989043176,0.016265965014463292,0.018264771027024833
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M0_ADDITIVE_METADATA_BUDGET,C4_CAPSULE_ERASED,0.0011636000126600266,0.0011624500039033592,0.000242649985011667,0.010706549976021051,0.01271154495771043,0.013378556004026904
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M0_ADDITIVE_METADATA_BUDGET,C5_CAPSULE_TRUNCATED,0.0011430999729782343,0.001142099965363741,0.0002569000353105366,0.010598249966278672,0.014462645014282315,0.019840505021857094
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M0_ADDITIVE_METADATA_BUDGET,C6_WRONG_VALID_CAPSULE,0.0011594999814406037,0.0011586000327952206,0.00023675005650147796,0.010745200037490577,0.012036034982884303,0.012513166967546566
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M0_ADDITIVE_METADATA_BUDGET,C7_STALE_CAPSULE,0.0011591999791562557,0.001158099970780313,0.0,0.010334349994082004,0.014656180021120216,0.02321953410049898
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M0_ADDITIVE_METADATA_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0011435499764047563,0.0011423499672673643,0.00026795000303536654,0.010280000045895576,0.01128717998508364,0.01167943801381625
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M0_ADDITIVE_METADATA_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.001143599976785481,0.0011426500277593732,0.0002594499383121729,0.01022910000756383,0.011248569987947122,0.011715946025215088
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0011344500235281885,0.001133300014771521,0.0002560000866651535,0.010346949973609298,0.01149370006751269,0.011681961063295603
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0011265499633736908,0.0011255500139668584,0.0002728999825194478,0.010515399975702167,0.011631274997489525,0.012570899025304241
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0011422500247135758,0.0011412500170990825,0.0,0.010129199945367873,0.011501529923407361,0.012318593957461415
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0011406999547034502,0.0011396999470889568,0.00025829998776316643,0.01036509993718937,0.011845385015476495,0.012493540012510494
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0011313000577501953,0.0011303500505164266,0.00021329999435693026,0.010319900000467896,0.011196220078272744,0.011805456982692702
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0011465499992482364,0.0011454499908722937,0.0002594499965198338,0.010241999989375472,0.01145765008404851,0.011872314987704156
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C4_CAPSULE_ERASED,0.0011324999504722655,0.001131500001065433,0.00025714997900649905,0.01045120001072064,0.01132706500357017,0.012026499026687815
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C5_CAPSULE_TRUNCATED,0.0011311499401926994,0.0011301000486128032,0.0002542500733397901,0.010305100004188716,0.011758284998359155,0.012702157924650232
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C6_WRONG_VALID_CAPSULE,0.0011342499637976289,0.0011331499554216862,0.00023669999791309237,0.010300000023562461,0.011434489948442204,0.011838151989504695
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C7_STALE_CAPSULE,0.001140250009484589,0.0011391000007279217,0.0,0.01015340001322329,0.01143210004083812,0.012078313016099854
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.001130599994212389,0.001129549986217171,0.00025685003492981195,0.010355349979363382,0.01144009996787645,0.01187712300568819
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0011276999721303582,0.001126500021200627,0.0002605499466881156,0.010251050000078976,0.011211659986292942,0.011615770034259183
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,1.810002140700817e-05,0.0,0.00023070006864145398,0.0005532499053515494,0.0008779299678280947,0.0009328810323495418
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,1.00000761449337e-06,0.0,0.0,2.00001522898674e-06,1.3590086018666618e-05,3.2085968414321494e-05
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,6.4999330788850784e-06,0.0,0.0,7.6000578701496124e-06,9.984977077692747e-06,1.3490059645846467e-05
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,1.8149963580071926e-05,0.0,0.00022464996436610818,0.0005618000286631286,0.0008331749588251112,0.0011459990357980114
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,6.89999433234334e-06,0.0,0.0,8.299946784973145e-06,0.000579569989349693,0.0007205219764728095
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,7.950060535222292e-06,0.0,0.0,9.55001451075077e-06,0.0005827150132972747,0.0007966379914432758
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C4_CAPSULE_ERASED,8.00006091594696e-07,0.0,0.0,1.700012944638729e-06,1.985015114769339e-06,3.159024054184554e-06
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C5_CAPSULE_TRUNCATED,9.00006853044033e-07,0.0,0.0,1.9000144675374031e-06,2.085015876218676e-06,3.6849547177553165e-06
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C6_WRONG_VALID_CAPSULE,1.7949962057173252e-05,0.0,0.0002377500059083104,0.0005589499487541616,0.0010043150105047956,0.001114965009037405
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C7_STALE_CAPSULE,6.649992428719997e-06,0.0,0.0,7.79994297772646e-06,1.0554963955655692e-05,1.6998013015836465e-05
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,2.600019797682762e-06,0.0,0.0,3.6499695852398872e-06,4.2550323996692876e-06,4.944037646055219e-06
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,5.300040356814861e-06,0.0,0.0,6.400048732757568e-06,8.599949069321156e-06,9.374028304591774e-06
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,1.7700018361210823e-05,0.0,0.00023629999486729503,0.0005607500206679106,0.0008475448878016319,0.0011173250270076094
