schema_version,method_id,budget_contract,trace_dimensions,corruption_cell,trials,trace_spike_recall_at_1,trace_spike_recall_at_8,trace_spike_recall_at_32,trace_spike_candidate_count_mean,trace_spike_candidate_count_p50,trace_spike_candidate_count_p95,exact_trace_selection_rate,conditional_risk_among_accepted,accepted_coverage,decoder_families_attempted_mean,decoder_invocations_mean,factor_or_replay_candidates_evaluated_mean,verified_reconstruction_rate,wrong_decoder_invocations_mean,time_to_verified_reconstruction_p50,ambiguity_detection_rate,silent_wrong_trace_rate,abstention_rate,expansion_rate
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C4_CAPSULE_MISSING,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75,0.75,0.75,0.75,0.6015625,0.1484375,0.00016950001008808613,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C5_SEMANTIC_PARTIAL_MASK,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7421875,0.0,0.7421875,0.7421875,0.7421875,0.75,0.6328125,0.109375,0.0001633499632589519,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C6_WRONG_VALID_CAPSULE,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75,0.75,0.75,0.75,0.6171875,0.1328125,0.00016310001956298947,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C0_CLEAN,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7421875,0.0,0.7421875,0.7421875,0.7421875,0.75,0.59375,0.1484375,0.0001649500336498022,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C1_SEMANTIC_ONLY,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75,0.75,0.75,0.75,0.546875,0.203125,0.00017179996939375997,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C2_CAPSULE_ONLY,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75,0.75,0.75,0.75,0.625,0.125,0.00016205006977543235,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C3_SEMANTIC_AND_CAPSULE,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75,0.75,0.75,0.75,0.546875,0.203125,0.0001626000157557428,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C4_CAPSULE_MISSING,128,0.75,0.75,0.75,0.75,1.0,1.0,0.734375,0.0,0.734375,0.734375,0.734375,0.75,0.6328125,0.1015625,0.0001572000328451395,0,0,0,0.015625
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C5_SEMANTIC_PARTIAL_MASK,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75,0.75,0.75,0.75,0.609375,0.140625,0.00016549997963011265,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C6_WRONG_VALID_CAPSULE,128,0.75,0.75,0.75,0.75,1.0,1.0,0.734375,0.0,0.734375,0.734375,0.734375,0.75,0.578125,0.15625,0.00016345002222806215,0,0,0,0.015625
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C0_CLEAN,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7421875,0.0,0.7421875,0.7421875,0.7421875,0.75,0.234375,0.5078125,0.00016095000319182873,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C1_SEMANTIC_ONLY,128,0.75,0.75,0.75,0.75,1.0,1.0,0.734375,0.0,0.734375,0.734375,0.734375,0.75,0.2578125,0.4765625,0.00016705004964023829,0,0,0,0.015625
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C2_CAPSULE_ONLY,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75,0.75,0.75,0.75,0.1953125,0.5546875,0.00016454997239634395,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C3_SEMANTIC_AND_CAPSULE,128,0.75,0.75,0.75,0.75,1.0,1.0,0.734375,0.0,0.734375,0.734375,0.734375,0.75,0.265625,0.46875,0.00016229995526373386,0,0,0,0.015625
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C4_CAPSULE_MISSING,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7421875,0.0,0.7421875,0.7421875,0.7421875,0.75,0.234375,0.5078125,0.00017259997548535466,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C5_SEMANTIC_PARTIAL_MASK,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7421875,0.0,0.7421875,0.7421875,0.7421875,0.75,0.265625,0.4765625,0.00016440002946183085,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C6_WRONG_VALID_CAPSULE,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7421875,0.0,0.7421875,0.7421875,0.7421875,0.75,0.25,0.4921875,0.0001667000469751656,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C0_CLEAN,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75,0.75,0.75,0.75,0.2890625,0.4609375,0.00019254995277151465,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C1_SEMANTIC_ONLY,128,0.75,0.75,0.75,0.75,1.0,1.0,0.734375,0.0,0.734375,0.734375,0.734375,0.75,0.203125,0.53125,0.0001680999994277954,0,0,0,0.015625
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C2_CAPSULE_ONLY,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7421875,0.0,0.7421875,0.7421875,0.7421875,0.75,0.2890625,0.453125,0.00015829992480576038,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C3_SEMANTIC_AND_CAPSULE,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75,0.75,0.75,0.75,0.2890625,0.4609375,0.00016650004545226693,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C4_CAPSULE_MISSING,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75,0.75,0.75,0.75,0.2265625,0.5234375,0.00015590002294629812,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C5_SEMANTIC_PARTIAL_MASK,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75,0.75,0.75,0.75,0.2578125,0.4921875,0.00016315001994371414,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C6_WRONG_VALID_CAPSULE,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7265625,0.0,0.7265625,0.7265625,0.7265625,0.75,0.3125,0.4140625,0.0001626000739634037,0,0,0,0.0234375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C0_CLEAN,128,0.75,0.75,0.75,32,32.0,32.0,0.4140625,0.0,0.4140625,0.4140625,0.4140625,19.1640625,0.34375,0.0703125,0.0,0.25,0,0.03125,0.0859375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C1_SEMANTIC_ONLY,128,0.75,0.75,0.75,32,32.0,32.0,0.4296875,0.0,0.4296875,0.4296875,0.4296875,18.6796875,0.34375,0.0859375,0.0,0.25,0,0,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C2_CAPSULE_ONLY,128,0.75,0.75,0.75,32,32.0,32.0,0.4140625,0.0,0.4140625,0.4140625,0.4140625,19.1640625,0.3203125,0.09375,0.0,0.25,0,0.03125,0.0859375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C3_SEMANTIC_AND_CAPSULE,128,0.75,0.75,0.75,32,32.0,32.0,0.4453125,0.0,0.4453125,0.4453125,0.4453125,18.1953125,0.3828125,0.0625,0.0,0.25,0,0,0.0546875
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C4_CAPSULE_MISSING,128,0.75,0.75,0.75,32,32.0,32.0,0.4140625,0.0,0.4140625,0.4140625,0.4140625,19.1640625,0.3359375,0.078125,0.0,0.25,0,0.03125,0.0859375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C5_SEMANTIC_PARTIAL_MASK,128,0.75,0.75,0.75,32,32.0,32.0,0.421875,0.0,0.421875,0.421875,0.421875,18.921875,0.3984375,0.0234375,0.0,0.25,0,0,0.078125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C6_WRONG_VALID_CAPSULE,128,0.75,0.75,0.75,32,32.0,32.0,0.421875,0.0,0.421875,0.421875,0.421875,18.921875,0.2890625,0.1328125,0.0,0.25,0,0.03125,0.078125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C0_CLEAN,128,0.75,0.75,0.75,32,32.0,32.0,0.4453125,0.0,0.4453125,0.4453125,0.4453125,18.1953125,0.375,0.0703125,0.0,0.25,0,0.03125,0.0546875
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C1_SEMANTIC_ONLY,128,0.75,0.75,0.75,32,32.0,32.0,0.4453125,0.0,0.4453125,0.4453125,0.4453125,18.1953125,0.3828125,0.0625,0.0,0.25,0,0,0.0546875
