schema_version,task_class,point_id,substrate,config_id,task_generation_time_sec,representation_materialization_time_sec,decoder_initialization_time_sec,decode_time_sec,end_to_end_time_sec,observation_bytes,codebook_bytes,decoder_state_bytes,peak_ram_bytes,peak_vram_bytes
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m16,MAP,u0_map_d256,7.21529999978543e-05,0.0023317119999965996,0.000113883000000925,0.00032834099999945465,0.0028460889999948336,1024,32768,1088,1090297856,8677888
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m16,MAP,u0_map_d256,0.0001396019999972964,0.005004573999997319,0.00010958000000016455,0.0003820810000014774,0.005635836999996258,1024,32768,1088,1090297856,8677888
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m16,MAP,u0_map_d256,6.21460000012064e-05,0.005397662000000025,0.00026219200000099363,0.00040029399999852444,0.00612229400000075,1024,32768,1088,1090297856,8677888
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m16,MAP,u0_map_d256,6.544799999730344e-05,0.0030921699999986174,0.00024708200000134184,0.00044782899999873393,0.0038525289999959966,1024,32768,1088,1090297856,8677888
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m16,MAP,u0_map_d256,6.995100000040111e-05,0.003471648999997967,0.00010998100000136901,0.0014923959999997294,0.005143976999999467,1024,32768,1088,1090297856,8677888
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m16,MAP,u0_map_d256,7.735700000210954e-05,0.0015302229999996086,0.00011308299999868154,0.0003670690000028287,0.0020877320000032284,1024,32768,1088,1090297856,8677888
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m16,MAP,u0_map_d256,5.1237999997511e-05,0.003629463999999416,0.00016241899999869247,0.0006035430000004283,0.004446663999996048,1024,32768,1088,1090297856,8677888
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m16,MAP,u0_map_d256,7.10519999991277e-05,0.0032252680000013356,0.0001135839999975019,0.00035125799999846663,0.003761161999996432,1024,32768,1088,1090297856,8677888
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m16,MAP,u0_map_d256,5.6341000000514896e-05,0.0033264419999987638,0.00017222600000010857,0.00038798500000325475,0.003942994000002642,1024,32768,1088,1090297856,8677888
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,6.204499999995505e-05,0.0017598919999990414,0.00010537700000057271,0.00034915600000218205,0.0022764700000017513,1024,131072,1280,1090297856,8923648
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,5.273900000091203e-05,0.002554375000002551,0.00010827999999918347,0.000394990000000206,0.0031103840000028526,1024,131072,1280,1090297856,8923648
